epoch,train_loss,train_bce_loss,train_boundary_loss,train_temporal_consistency_loss,train_main_loss,train_aux_loss,train_iou,train_f1,train_precision,train_recall,train_accuracy,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean
0,0.6317330757776897,0.6919711788495382,0.09886619225144386,0.052486872176329295,0.6317330757776897,0.0,0.09558473834767937,0.16457469407469033,0.1091649815440178,0.5057690103848775,0.5633160591125488,0.0010000048438087105,0.3298205196857452,0.2992171468834082,0.37096233665943146,0.25
1,0.6082480152448019,0.6657526691754659,0.09990299046039582,0.05391967830558618,0.6082480152448019,0.0,0.1427149885954956,0.23441490922123193,0.15007671667262912,0.7253147274255752,0.6337634563446045,0.0010000354843214155,0.31956723233064016,0.30430817616482575,0.3761245886484782,0.25
2,0.5743962526321411,0.628715984026591,0.09435739293694496,0.05016478020697832,0.5743962526321411,0.0,0.2540412244697412,0.36651413949827355,0.2665809984008471,0.8669102321068446,0.7562116305033366,0.0010000944059963027,0.3328218142191569,0.2941825839380423,0.3729956065615018,0.25
3,0.5541369398434957,0.606971784432729,0.08634273173908392,0.04774620110789935,0.5541369398434957,0.0,0.30046178937579193,0.43334158199528855,0.32301749534284074,0.854765702287356,0.8364344120025635,0.0010001690903057654,0.31712123155593874,0.29335359409451484,0.3895251750946045,0.25
4,0.5207796732584635,0.5705799013376236,0.08109973010917505,0.03848984555030863,0.5207796732584635,0.0,0.40691628580292066,0.5384067689379056,0.42576584468285245,0.8968186497688293,0.8980124314626058,0.0010002269952868422,0.3295994178702434,0.3009044033785661,0.36949617763360343,0.25
5,0.5086791644493739,0.5571880439917246,0.08032253583272299,0.039206833702822526,0.5086791644493739,0.0,0.4392329670488834,0.5852872341871261,0.47420311098297435,0.8450831512610117,0.9208208719889323,0.0010002852960800132,0.3217184474070867,0.29646705215175945,0.38181450342138606,0.25
6,0.5004511306683223,0.5481282562017441,0.07983958721160889,0.03742729711035887,0.5004511306683223,0.0,0.4423453912138939,0.5893319537242253,0.49187004814545315,0.8339682509501775,0.9252943197886149,0.0010003791578734914,0.3249261476099491,0.2909251523514589,0.38414869631330173,0.25
7,0.4744089583555857,0.5198931634426117,0.07322290986776352,0.03236477343986432,0.4744089583555857,0.0,0.521486473083496,0.668720789750417,0.5811834871768952,0.8638151387373606,0.9468383312225341,0.0010004067172606787,0.3234389618039131,0.30233834584554037,0.37422269359231,0.25
8,0.4890680352846781,0.5357079227765401,0.07731654966870943,0.037279631445805234,0.4890680352846781,0.0,0.478088966012001,0.6131515517830849,0.5510725596298774,0.7716335495313008,0.9285061359405518,0.0010003842879086732,0.31521914650996524,0.2861485828955968,0.3986322728296121,0.25
9,0.4843931615352631,0.5304004341363907,0.07681330628693103,0.044386173412203786,0.4843931615352631,0.0,0.4704043528530747,0.608507446727405,0.5691497713016967,0.7230156630277633,0.9225442409515381,0.0010004391428083182,0.3207258070508639,0.31160573586821555,0.36766845484574634,0.25,0.47866063192486763,0.4895775706041604,0.6275706800632179,0.5534254170954227,0.8161252163816244,0.9531735718250275,0.0010004860814660788,0.31719588190317155,0.30509066507220267,0.3777134507894516,0.25
10,0.4755233963330587,0.5214347501595815,0.06938431337475777,0.03406941390906771,0.4755233963330587,0.0,0.48603869589666526,0.6310642016430695,0.5581057359774907,0.8051653181513151,0.9442087173461914,0.001000511817013224,0.3288989869256814,0.2967648046712081,0.3743362071613471,0.25
11,0.4641728301843007,0.508402677377065,0.07363371141254901,0.03598683001473546,0.4641728301843007,0.0,0.5298201984415452,0.6688695205996434,0.6395177631328504,0.7431364387273789,0.9437843163808187,0.0010005798035611709,0.3165568063656489,0.30054380347331366,0.38289939165115355,0.25
12,0.4552648643652598,0.4987723261117935,0.07086574758092562,0.0350260715931654,0.4552648643652598,0.0,0.543389272193114,0.6891584341724714,0.6313334497312705,0.827889217933019,0.9540895303090413,0.001000686874613166,0.31068546151121457,0.3040060001115004,0.3853085398674011,0.25
13,0.4708871414264043,0.5164393762747447,0.06836581726868947,0.031122570267568032,0.4708871414264043,0.0,0.47751710849503676,0.6245853352049987,0.5353091510633627,0.8039936035871506,0.949941364924113,0.0010008973147099217,0.30481593509515126,0.29467777038613957,0.40050629874070487,0.25
14,0.4424396187067032,0.4839751531680425,0.0773023000607888,0.03389037987217307,0.4424396187067032,0.0,0.598516205449899,0.7322565486033757,0.689630103111267,0.8258021324872971,0.9571599006652832,0.0010011468781158327,0.30835177302360534,0.2915055920680364,0.400142631928126,0.25
15,0.4486486266056697,0.49172794620196025,0.06763126750787099,0.03414949122816324,0.4486486266056697,0.0,0.545956109960874,0.6841903130213419,0.650762352347374,0.7739773074785868,0.9553130308787028,0.001001383977321287,0.31430128738284113,0.3014207907021046,0.38427791794141136,0.25
16,0.43277360995610553,0.4733843892812729,0.07579181330899397,0.03321644508590301,0.43277360995610553,0.0,0.597940032184124,0.7345292096336683,0.7181626240412394,0.7884289443492889,0.9586750507354737,0.0010016250579307476,0.3210198678076267,0.30226603398720425,0.37671409994363786,0.25
17,0.4292819748322169,0.46982702910900115,0.07307971032957236,0.029564308592428763,0.4292819748322169,0.0,0.6234446115791797,0.7544263263543447,0.7234150518973669,0.821368866165479,0.9606831868489584,0.0010019510441149275,0.288959272702535,0.28291115909814835,0.42812957540154456,0.25
18,0.43582490185896555,0.47740752597649894,0.06883055493235588,0.032584786601364615,0.43582490185896555,0.0,0.5645810147126515,0.7005756030480067,0.6688526446620623,0.782660232981046,0.9607111136118571,0.0010023106122389435,0.2935886955509583,0.28291809757550557,0.42349321047465005,0.25
19,0.42431199848651885,0.4643833120663961,0.072742602104942,0.027381081723918517,0.42431199848651885,0.0,0.6366982385516167,0.7644342601299285,0.7144285102685293,0.8507547388474147,0.9673962910970052,0.0010026237539326151,0.30630392506718634,0.30004942094286285,0.39364665051301323,0.25,0.42305404543876646,0.5906244650483131,0.7181835014373064,0.6834362499415875,0.8026920985430479,0.9709645107388496,0.0010028020478785038,0.28633313477039335,0.2828704535961151,0.43079640418291093,0.25
20,0.43136474788188933,0.4721533368031184,0.07234963923692703,0.031939248585452634,0.43136474788188933,0.0,0.5841415770351887,0.7205105488499005,0.6920258002976577,0.7900741418202718,0.9600495179494222,0.0010030375560745597,0.3022312022745609,0.2836640534301599,0.4141047395765781,0.25
21,0.43375965654850007,0.4755831470092138,0.06324027193089327,0.033780678951491915,0.43375965654850007,0.0,0.5519637721280257,0.6838725661238034,0.6380921972294649,0.7841308464606603,0.9605030695597331,0.0010033738721782963,0.29018279338876407,0.28884089390436807,0.4209763112167517,0.25
22,0.4171818027893702,0.4564745187759399,0.07169849462807179,0.030943364929407836,0.4171818027893702,0.0,0.6163945063948632,0.746648786465327,0.7118219594160716,0.8122302810351054,0.9625232219696045,0.0010037144180387258,0.2960458636283875,0.2866805096467336,0.41727363343040147,0.25
23,0.42218813101450603,0.46199565728505454,0.07191548359890779,0.03194062318652868,0.42218813101450603,0.0,0.592391240519161,0.7213717195515831,0.6847680225037038,0.8173514316479366,0.9613964239756266,0.0010040286695584654,0.2903825260698795,0.2879408560693264,0.4216766228278478,0.25
24,0.40794873038927715,0.44601481954256694,0.07321002135674158,0.033930158351237576,0.40794873038927715,0.0,0.6453265726566315,0.7760957797368367,0.7694509426752726,0.8136732101440429,0.9618345101674398,0.0010043576126918196,0.2804517631729444,0.26920486638943353,0.4503433716793855,0.25
25,0.41729324460029604,0.4569418450196584,0.06799999140202999,0.030279576095441976,0.41729324460029604,0.0,0.6056773205598195,0.7277935122450193,0.6803378043075402,0.8277853926022848,0.962112283706665,0.0010046433191746474,0.2960388029615084,0.29507984419663746,0.4088813541022951,0.25
26,0.4173924267292023,0.45694332420825956,0.0690283761670192,0.031058904031912485,0.4173924267292023,0.0,0.5704993835339943,0.7021708872169257,0.6522504866744081,0.8122322887182236,0.9638831615447998,0.001005009942067166,0.2752219751477242,0.3088190418978532,0.41595897898077966,0.25
27,0.4052900612354279,0.4433648606141408,0.0694841584811608,0.03514812768747409,0.4052900612354279,0.0,0.6320136209328969,0.7584608594576517,0.7343557079633077,0.8313091074426969,0.960532792409261,0.001005475502461195,0.29686602130532264,0.2921954900026321,0.41093848993380866,0.25
28,0.4013089120388031,0.43893150985240936,0.07154700892666975,0.02734013634423415,0.4013089120388031,0.0,0.6377554545799892,0.7577837511897088,0.7208860094348589,0.826658821105957,0.9697160243988037,0.0010058476977671186,0.30262107054392495,0.28196651861071587,0.4154124083618323,0.25
29,0.39693475464979805,0.4343312352895737,0.06746328783531984,0.03197944617519776,0.39693475464979805,0.0,0.6607062975565593,0.7873961766560872,0.7708333849906921,0.8381541848182679,0.9636878649393718,0.0010062455742930372,0.2942530453205109,0.28518528466423354,0.4205616682767868,0.25,0.4044532462954521,0.6201866459101438,0.7455115988850594,0.6784634906798601,0.86267891228199,0.9714562430977821,0.0010064149973914027,0.29183164462447164,0.2908632144331932,0.4173051409423351,0.25
30,0.3948369155327479,0.43182038962841035,0.0701758890102307,0.029225345142185687,0.3948369155327479,0.0,0.6489307835698128,0.7695369017620881,0.7443272712330024,0.8163208370407422,0.9703739166259766,0.0010065671755000948,0.2902415042122205,0.2711532436311245,0.43860525091489155,0.25
31,0.39698614180088043,0.4340722878774007,0.07030555134018263,0.034832377638667825,0.39698614180088043,0.0,0.6334029033780098,0.7510121206442515,0.7438739741841952,0.7888888895511628,0.9597870985666911,0.0010069143570338686,0.3083438975115617,0.2839766313632329,0.40767947187026343,0.25
32,0.3877947817246119,0.42368812958399454,0.07200194237132868,0.03576609827578068,0.3877947817246119,0.0,0.6498104095458984,0.7695206483205159,0.7479221065839131,0.8066285610198974,0.9683196862538656,0.0010072759507844845,0.30310614009698233,0.2781350053846836,0.41875885302821797,0.25
33,0.3985893527666728,0.43564750750859577,0.07244522087275981,0.035549547305951515,0.3985893527666728,0.0,0.6074019273122152,0.73923915574948,0.7275049939751626,0.7814551005760829,0.9610475699106852,0.0010076156041274468,0.2764027141034603,0.3031004627545675,0.42049682289361956,0.25
34,0.39125226239363353,0.4279024382432302,0.06843468335767587,0.03326516280261179,0.39125226239363353,0.0,0.6218821908036868,0.7424794534842173,0.7101672875384489,0.7921157995859782,0.9709885756174723,0.001007930786969761,0.30250293215115864,0.28277246579527854,0.41472459957003593,0.25
35,0.3933436691761017,0.429572206735611,0.07553789032002291,0.03428320294866959,0.3933436691761017,0.0,0.6014856580644846,0.7300735632578532,0.6973385988424222,0.7858427618940671,0.966017198562622,0.0010082596835369864,0.29943800047039987,0.30374015072981514,0.39682184482614197,0.25
36,0.38090254565080006,0.41674472788969674,0.06636289320886135,0.0261634833800296,0.38090254565080006,0.0,0.6540443703532219,0.7736478418111801,0.7276803279916445,0.85893647869428,0.9738617261250814,0.0010085249630113443,0.2987987982730071,0.29884717216094336,0.40235402931769687,0.25
37,0.3772489200035731,0.4126296291748683,0.0659856138130029,0.0301707960665226,0.3772489200035731,0.0,0.665934971968333,0.7837545158962409,0.7604295175522566,0.8350611944993337,0.9738135973612467,0.0010088485044737656,0.30361676663160325,0.2869654898842176,0.409417740876476,0.25
38,0.37609894275665284,0.41125553051630653,0.06755486316978931,0.028229418303817512,0.37609894275665284,0.0,0.6748880977431934,0.7948986639579138,0.7677926753958066,0.8457114855448405,0.9722420692443847,0.0010090956852460901,0.3050920272866885,0.30562503387530643,0.38928294032812116,0.25
39,0.37621213495731354,0.41129923860232037,0.06819039198259512,0.02937997654080391,0.37621213495731354,0.0,0.6513158572216828,0.7728383024533589,0.7427311316132545,0.8267357990145683,0.9735143979390463,0.0010092785426725943,0.2985653692235549,0.3154416762292385,0.38599295156697433,0.25,0.36634210497140884,0.6546767897903919,0.7710242301225663,0.7687996342778206,0.8046605668962001,0.9777292862534523,0.0010093948803842068,0.29924470484256743,0.3073181927204132,0.3934371002018452,0.25
40,0.36808239420255023,0.4020765841007233,0.06990769828359286,0.031043109949678183,0.36808239420255023,0.0,0.6722210104266803,0.7873879720767339,0.7515813117225965,0.8523392657438914,0.9740794658660888,0.0010094871278852225,0.30901584153374034,0.30985240067044895,0.38113176127274834,0.25
41,0.37315518657366437,0.4079746296008428,0.0665044463550051,0.032883699207256235,0.37315518657366437,0.0,0.6475530629977584,0.7612887776146332,0.7628003105521202,0.7770672413210075,0.9690027395884196,0.0010098335876440009,0.29814879298210145,0.30114876727263135,0.4007024404903253,0.25
42,0.3719899237155914,0.40645520289738973,0.06837148703634739,0.035526591291030245,0.3719899237155914,0.0,0.6469777405261994,0.768063888947169,0.77334157427152,0.7892583767573039,0.965198548634847,0.001010137478200098,0.29554599411785604,0.2963217407464981,0.40813226674993835,0.25
43,0.359937392671903,0.39313559035460155,0.06925036683678627,0.028766903405388195,0.359937392671903,0.0,0.6998512425925583,0.8058091757508615,0.8063373445533216,0.8149986357738574,0.9709134260813396,0.0010104204217592876,0.30337921107808746,0.28926945800582565,0.4073513304193815,0.25
44,0.36042791505654653,0.39334676464398705,0.07157174460589885,0.03450500924761097,0.36042791505654653,0.0,0.6946737855672837,0.8119906723499298,0.798941061894099,0.84188119272391,0.9658137957255045,0.0010106730042025447,0.2945405674477418,0.31201664755741754,0.3934427830080191,0.25
45,0.3514216184616089,0.38303999801476796,0.07541840945680936,0.03260781451438864,0.3514216184616089,0.0,0.7057781666517258,0.8174323171377182,0.8070189793904622,0.848154624303182,0.971966807047526,0.0010109435922155778,0.3030424249668916,0.3104291724661986,0.3865284025669098,0.25
46,0.3563090294599533,0.38891325891017914,0.06959163546562194,0.03598860042790572,0.3563090294599533,0.0,0.6816380163033803,0.8013621131579082,0.8055677682161331,0.8203196793794632,0.9690878550211589,0.0010111511840174595,0.30793763597806295,0.2991177390019099,0.39294462551673254,0.25
47,0.3455695629119873,0.37721789280573526,0.0694729533046484,0.02578144023815791,0.3455695629119873,0.0,0.7209012861053149,0.8226914862791698,0.8026472541193167,0.8590490410725276,0.9759994983673096,0.0010113314415017764,0.3130661822855473,0.3139565860231717,0.3729772309462229,0.25
48,0.35604219635327655,0.38889063795407613,0.06782111066083113,0.030747409692655006,0.35604219635327655,0.0,0.6548363501826923,0.7776169945796331,0.7760095665852229,0.7978287070989609,0.9725612004597982,0.0010116338186586897,0.3024661183357239,0.30869688565532366,0.3888369910418987,0.25
49,0.35101161537499265,0.3829442971739276,0.07088327279378628,0.03455481357101736,0.35101161537499265,0.0,0.6389871244800502,0.7577971173771496,0.7506288638145759,0.8091571927070618,0.9702937191930311,0.001011951894756278,0.3026760022701888,0.3222311801951507,0.37509281650699416,0.25,0.3513345934450626,0.6690081633627415,0.7837543223053217,0.7481428056955337,0.8561555162072182,0.9774919793009758,0.0010121585801243782,0.29391108080744743,0.31891858875751494,0.38717032968997955,0.25
50,0.34688410758972166,0.379186142484347,0.06312668733298779,0.028322522963086762,0.34688410758972166,0.0,0.6783404648303986,0.7985218544801076,0.793132429321607,0.8182600418726603,0.9777446269989014,0.0010123388841748238,0.3011691038807233,0.32024224996566775,0.3785886444151402,0.25
51,0.33490146895249684,0.3654567281405131,0.06788954349855582,0.027962746409078438,0.33490146895249684,0.0,0.732971403002739,0.8380519449710846,0.8260617136955262,0.8654859662055969,0.9744320551554362,0.001012583503810068,0.30635776594281194,0.3364466458559036,0.35719558919469513,0.25
52,0.3498084515333176,0.3819693992535273,0.06742387923101584,0.03210453173766534,0.3498084515333176,0.0,0.6464417909582456,0.7632189363241195,0.7610968192418416,0.7763594388961792,0.973077408472697,0.0010127841106926402,0.3060506304105123,0.31298849508166315,0.38096087202429774,0.25
53,0.33302910923957824,0.36321029663085935,0.06949388968447844,0.029016905712584654,0.33302910923957824,0.0,0.7410222669442494,0.844956781466802,0.8341783682505289,0.8631014207998912,0.9765531380971273,0.0010131672335167727,0.291758780926466,0.33418457334240276,0.3740566442410151,0.25
54,0.33926607966423034,0.37021444439888,0.068227377658089,0.030744714103639124,0.33926607966423034,0.0,0.6815144793440898,0.7929304209848245,0.7829072085519632,0.8286570896704991,0.9750481287638346,0.001013471403469642,0.29123028591275213,0.3407630321880182,0.3680066818992297,0.25
55,0.3361931929985682,0.36688089768091836,0.06670160666108131,0.03321325648576021,0.3361931929985682,0.0,0.6824001058936119,0.7930252621571223,0.7870593130588531,0.8268910358349483,0.9706426620483398,0.0010137220999846856,0.2899839526663224,0.32991218467553457,0.38010386551419895,0.25
56,0.33909637331962583,0.369824081659317,0.06976894748707613,0.0336597451629738,0.33909637331962583,0.0,0.674933384358883,0.7889787331223488,0.7764853072663148,0.8122701322038969,0.9727136611938476,0.0010139552100251119,0.2785558797419071,0.3314298083384832,0.390014311671257,0.25
57,0.32444811761379244,0.354277432958285,0.0636992383748293,0.02512487902616461,0.32444811761379244,0.0,0.707481802503268,0.8179294864336649,0.8015294114748637,0.8428489585717519,0.9794224739074707,0.0010141408070921897,0.2939919454356035,0.3627100778122743,0.34329797849059107,0.25
58,0.333974759777387,0.36471758087476097,0.06439114014307658,0.0288825163928171,0.333974759777387,0.0,0.6618577142556509,0.7774427170554797,0.7627751832207044,0.8285391807556153,0.9735243797302247,0.001014451946442326,0.3155868868033091,0.3286462269723415,0.3557668869694074,0.25
59,0.3284394979476929,0.3581750303506851,0.06821905076503754,0.031222695702066025,0.3284394979476929,0.0,0.6697480529546738,0.7815779795249304,0.7712491601705551,0.8107062970598539,0.973522440592448,0.0010147707148765524,0.29968369752168655,0.34009250787397227,0.36022379621863365,0.25,0.31983769312500954,0.6746517926454544,0.7888187579810619,0.7537378065288067,0.8599095903337002,0.9783274561166764,0.0010149567387998104,0.29634359031915664,0.3412035644054413,0.3624528467655182,0.25
60,0.3219987958669662,0.351039465268453,0.06796922336022058,0.0312873717242231,0.3219987958669662,0.0,0.701544331262509,0.8055344050129255,0.7948836542665958,0.8263663912812869,0.9751708030700683,0.0010150828321153918,0.30638119354844096,0.3341839256385962,0.3594348837931951,0.25
61,0.3289879600207011,0.3590790102879206,0.06541237719357014,0.02919344718878468,0.3289879600207011,0.0,0.6787627910574278,0.787625390291214,0.7808814416329066,0.8131701985994975,0.9761955261230468,0.0010153260470057528,0.29252852747837704,0.37242578715085983,0.3350456848740578,0.25
62,0.3230672856171926,0.3516596774260203,0.07397227510809898,0.03279043861354391,0.3230672856171926,0.0,0.6825532684723536,0.7993536452452342,0.7974501639604569,0.8109313011169433,0.974734115600586,0.0010156591422855854,0.31164373978972437,0.3423854405681292,0.3459708149234454,0.25
63,0.3191055148839951,0.347889710466067,0.06770654333134492,0.029412971592197815,0.3191055148839951,0.0,0.6963902354240418,0.8098544508218766,0.7986534823973973,0.8313489576180776,0.975779406229655,0.0010159828467294573,0.29479386905829114,0.36647493292888006,0.3387311992545923,0.25
64,0.3200577065862458,0.3490493143426961,0.0664038822568696,0.030051261796776592,0.3200577065862458,0.0,0.67133980552698,0.7828521086224194,0.7836138328601574,0.796485210800993,0.9736319574816473,0.001016253047494282,0.2869221465499355,0.3494676539096339,0.3636101982716856,0.25
65,0.3121473968029022,0.3412314534187317,0.05767788849771023,0.02124319061016043,0.3121473968029022,0.0,0.7244862784941991,0.8344492336114248,0.8185040662686031,0.8620331625143687,0.9824042479197185,0.0010165902708346645,0.2962310679256916,0.35760985165834425,0.3461590816577276,0.25
66,0.31125922401746114,0.3398585279782613,0.06092512334386508,0.02562750664850076,0.31125922401746114,0.0,0.713584640622139,0.8212794144948323,0.7978188653786977,0.8645506262779236,0.98016357421875,0.001016898911135892,0.30158987815181415,0.3519962238768736,0.34641390095154445,0.25
67,0.31220941841602323,0.3408028095960617,0.06250823009759188,0.02431184162075321,0.31220941841602323,0.0,0.6876525528418521,0.7962880705172817,0.7831615112101038,0.8318145543336868,0.9799664815266927,0.0010172214669485887,0.29956606042881806,0.3409866171578566,0.3594473250210285,0.25
68,0.31048763195673623,0.3387072910865148,0.06325880003472169,0.029518596921116115,0.31048763195673623,0.0,0.6875865206122398,0.801142422358195,0.8018220007419586,0.8121169408162435,0.973737382888794,0.0010175329555446903,0.30132674450675645,0.3387859284877777,0.35988732700546583,0.25
69,0.2979728619257609,0.32464552323023477,0.06622501307477553,0.02469495087862015,0.2979728619257609,0.0,0.7388088603814443,0.8452122767766317,0.8281382739543914,0.8689470291137695,0.980086867014567,0.0010178306295226017,0.2996540856858095,0.35386171167095504,0.34648419891794524,0.25,0.29260611310601237,0.6851999439299107,0.7947153292596341,0.8187268115580082,0.7989721693098545,0.9808392807841301,0.0010179448872804642,0.29146432504057884,0.35473655462265014,0.35379911586642265,0.25
70,0.29179030656814575,0.3176785210768382,0.06656182346244653,0.02773504483823975,0.29179030656814575,0.0,0.7663344447811444,0.8560631925861041,0.843327420949936,0.8707442035277685,0.9798565546671549,0.0010180478372300665,0.29796282624204956,0.34280930608510973,0.3592278624574343,0.25
71,0.29762765963872273,0.3236987461646398,0.07182294862965742,0.02764793822231392,0.29762765963872273,0.0,0.7276289582252502,0.836431356271108,0.8287608941396077,0.8481986850500107,0.9766314506530762,0.0010183427560453613,0.3004376858472824,0.3463735337058703,0.3531887794534365,0.25
72,0.29588573127985,0.3220941146214803,0.06810355844597021,0.02763741007074714,0.29588573127985,0.0,0.7112695172429084,0.8222033977508545,0.8093050887187322,0.8507958590984345,0.9783953348795573,0.001018618435288469,0.28731926580270134,0.36246112709244094,0.3502196108301481,0.25
73,0.3005590801437696,0.3273885836203893,0.06606914935012659,0.031191464823981125,0.3005590801437696,0.0,0.6845261851946512,0.7969873368740081,0.8055721859137217,0.7940123379230499,0.9755406220753987,0.0010188539357235034,0.30786157424251237,0.37609335283438367,0.31604507292310396,0.25
74,0.2913696565504732,0.3176359914500138,0.06300685272134583,0.022836175297611748,0.2913696565504732,0.0,0.7048338240590589,0.8106784378660137,0.795654755214165,0.8463431493989353,0.9808840916074556,0.0010190663000183373,0.32083314837052906,0.3414250668780557,0.33774178577908154,0.25
75,0.29482197711865105,0.3211804300546646,0.0642903346568346,0.030818403450151285,0.29482197711865105,0.0,0.684220227599144,0.8052180866400401,0.8090716024239858,0.816043359041214,0.97548828125,0.001019188187395533,0.29692797884345057,0.3776016063988209,0.325470415999492,0.25
