# model=B23TFCUCCMFGMLiteModel tfcu=ccm_fgm_lite lora_rank=32 input_size=512 num_clips=2 num_frames=4
# loss=1*dice + 0.5*bce + 0.2*tversky + 0.15*boundary aux=0.05*ccm_mask32 + 0.1*fgm_mask32 + 0.2*mask128 + 0.1*boundary128
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=1 lr=0.0001 params_total=318311063 params_trainable=15005591
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_aux_boundary128_loss,train_aux_ccm_mask32_loss,train_aux_fgm_mask32_loss,train_aux_mask128_loss,train_bce_loss,train_boundary_loss,train_dice_loss,train_tversky_loss,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_iou,val_f1,val_precision,val_recall,val_accuracy
24,9.994903e-06,0.70077972,0.57564302,0.1251367,0.10419693,0.30282505,0.32811136,0.33382308,0.13675969,0.062909816,0.42804087,0.34892913,0.68367879,0.79371103,0.73570379,0.89106918,0.9747314,,,,,,
25,9.9942009e-06,0.59907136,0.4907193,0.10835205,0.10147042,0.26246294,0.28757711,0.28162077,0.11504904,0.062004314,0.36512885,0.29382642,0.73082963,0.82970105,0.77932753,0.90257759,0.97876618,,,,,,
26,9.9934536e-06,0.56298395,0.45944378,0.10354017,0.10195503,0.25102693,0.27567399,0.26612959,0.10640282,0.064271584,0.34196623,0.27317699,0.7377979,0.8372752,0.78911535,0.90560125,0.97835738,,,,,,
27,9.992661e-06,0.57049177,0.46129425,0.10919752,0.10066655,0.27089461,0.28944528,0.28320802,0.10738093,0.064050729,0.34229438,0.27850897,0.72031205,0.82005913,0.77182699,0.89646871,0.97853119,,,,,,
28,9.9918231e-06,0.45943735,0.37270187,0.086735475,0.09167495,0.20981143,0.23298278,0.21889565,0.090313036,0.057760341,0.27569774,0.21591783,0.78410616,0.87400807,0.83546384,0.92338681,0.9802238,,,,,,
29,9.99094e-06,0.52736857,0.42917899,0.098189582,0.084195022,0.24281633,0.26724058,0.25452602,0.088532746,0.052482734,0.32482016,0.26110022,0.74194597,0.83723137,0.79634637,0.89870744,0.9824859,0.43206864,0.78133768,0.86624096,0.86345414,0.88655395,0.98298688
30,9.9900117e-06,0.41792847,0.33490565,0.08302282,0.088317985,0.2042125,0.22533197,0.20723599,0.08200048,0.057710546,0.24626477,0.1949203,0.79087629,0.87763128,0.84388046,0.92051591,0.98149958,,,,,,
31,9.9890382e-06,0.47357169,0.37733711,0.096234582,0.086446931,0.24231756,0.26399685,0.24537163,0.087597155,0.055932471,0.27982337,0.22662642,0.75002838,0.84715428,0.80950736,0.89768342,0.9802082,,,,,,
32,9.9880195e-06,0.47424799,0.37619556,0.098052432,0.083343494,0.25129922,0.27266983,0.24943069,0.083294113,0.055350796,0.28025341,0.22996234,0.73950159,0.83648564,0.79858628,0.89346662,0.98140634,,,,,,
33,9.9869556e-06,0.48826749,0.38477031,0.10349718,0.081219363,0.26740759,0.2861665,0.26694107,0.085255625,0.055001755,0.28632717,0.23782531,0.72052727,0.82374938,0.78433483,0.87795889,0.98127339,,,,,,
34,9.9858465e-06,0.43555335,0.33974475,0.095808594,0.082400965,0.24822758,0.26609379,0.24273869,0.080557499,0.05713338,0.24928927,0.20803361,0.74891025,0.842971,0.81409156,0.8847096,0.98099436,,,,,,
35,9.9846922e-06,0.40645706,0.31718169,0.08927537,0.081431154,0.22744487,0.24902503,0.22428753,0.074960848,0.057422111,0.23264517,0.1922139,0.76735615,0.85889645,0.82736996,0.90068906,0.98222458,,,,,,
36,9.9834928e-06,0.41560975,0.32206219,0.093547563,0.075618824,0.24071209,0.26670217,0.23639929,0.074604344,0.051719829,0.23719777,0.19902133,0.75063447,0.84487117,0.8146966,0.88454431,0.98219542,,,,,,
37,9.9822482e-06,0.41562846,0.31813668,0.097491776,0.082828833,0.25581747,0.27169992,0.24624013,0.080653355,0.05898458,0.22986217,0.19550075,0.74528917,0.84281342,0.80922583,0.88987361,0.9804784,,,,,,
38,9.9809585e-06,0.37304524,0.28458628,0.088458954,0.081565296,0.22892456,0.24710087,0.22073054,0.073305291,0.057260962,0.20444616,0.17449166,0.77281422,0.86182175,0.83693669,0.89788304,0.98158883,,,,,,
39,9.9796237e-06,0.39364146,0.29811108,0.095530378,0.082778984,0.24768149,0.27090472,0.23888965,0.07893482,0.059381239,0.21307672,0.18329881,0.75402936,0.84810129,0.81961945,0.88595619,0.980431,0.36778549,0.75320065,0.83955879,0.80340649,0.91905385,0.97428663
40,9.9782437e-06,0.37527866,0.28530674,0.089971918,0.075606067,0.23662913,0.25514535,0.22532659,0.071020304,0.055245889,0.20618891,0.17660398,0.76143439,0.85620704,0.82916996,0.89105524,0.98223755,,,,,,
41,9.9768187e-06,0.36338597,0.27825454,0.085131433,0.069684612,0.22341429,0.23993315,0.21499471,0.066736169,0.051661237,0.20290657,0.17115351,0.77024103,0.86244534,0.83330054,0.89969787,0.98325316,,,,,,
42,9.9753485e-06,0.34551205,0.26362301,0.08188904,0.066226625,0.2153332,0.23545547,0.20477084,0.061574258,0.050365964,0.19264241,0.16319287,0.77122995,0.86433242,0.83720361,0.89861096,0.98468718,,,,,,
43,9.9738333e-06,0.35256328,0.26486028,0.087703007,0.074195066,0.23221447,0.24911454,0.21880661,0.0692594,0.056752524,0.18905404,0.1633183,0.76060575,0.85647356,0.82688353,0.89466881,0.98232543,,,,,,
44,9.9722731e-06,0.30384396,0.22724886,0.076595105,0.071845204,0.20200312,0.21688747,0.1881084,0.06329652,0.054002682,0.15988104,0.13809576,0.79795613,0.88237116,0.8606176,0.90922157,0.98322512,,,,,,
45,9.9706678e-06,0.30167017,0.22252628,0.079143889,0.074687542,0.20841472,0.22442819,0.19405789,0.066855762,0.05875743,0.15354927,0.13367759,0.79178989,0.87901537,0.85377968,0.90876266,0.98191735,,,,,,
46,9.9690175e-06,0.3387063,0.25361851,0.085087792,0.071405225,0.22474097,0.23891514,0.21409353,0.063756449,0.057532604,0.18119263,0.15958881,0.76700618,0.85816786,0.83139153,0.89202712,0.9832897,,,,,,
47,9.9673222e-06,0.34329201,0.25463129,0.088660712,0.073341211,0.23559254,0.25420839,0.22063062,0.068821521,0.056147364,0.17982067,0.15988879,0.76779714,0.85974649,0.8358794,0.89054025,0.98219279,,,,,,
48,9.9655819e-06,0.31816552,0.23594557,0.082219952,0.067545693,0.21949925,0.23634593,0.20427913,0.06060109,0.053159052,0.16768231,0.14994427,0.77513712,0.86549723,0.84268364,0.89470879,0.98439892,,,,,,
49,9.9637967e-06,0.26024512,0.19152226,0.068722859,0.068274588,0.18022794,0.19313282,0.1678536,0.057491506,0.054050965,0.13103955,0.11814653,0.81973196,0.89673539,0.88506259,0.91120278,0.98472402,0.31649151,0.77261411,0.85445875,0.82502153,0.91422732,0.97930394
50,9.9619664e-06,0.3042921,0.22324643,0.08104567,0.070704225,0.2173735,0.23242226,0.19932172,0.066696226,0.05597022,0.1542343,0.13634241,0.78429176,0.87535507,0.85195366,0.90399618,0.98202942,,,,,,
51,9.9600913e-06,0.28922206,0.21287737,0.076344689,0.068175338,0.20347142,0.21660008,0.18846787,0.060571493,0.05557729,0.14769138,0.13281822,0.79121757,0.87817845,0.85972478,0.90032585,0.98387302,,,,,,
52,9.9581713e-06,0.30088264,0.22188646,0.078996178,0.066580938,0.21222095,0.22519687,0.19603674,0.059113417,0.055870296,0.15609523,0.13926987,0.78779047,0.8707649,0.84616855,0.9031541,0.98395532,,,,,,
53,9.9562063e-06,0.26916866,0.19682325,0.072345412,0.067701401,0.19300936,0.20512659,0.17706072,0.058641456,0.057096696,0.1348831,0.12027458,0.80466736,0.88693309,0.86520559,0.91387756,0.9838662,,,,,,
54,9.9541965e-06,0.30563896,0.22350419,0.08213477,0.073311486,0.21850119,0.23257231,0.20310665,0.063595161,0.057284018,0.15477134,0.14171334,0.78056351,0.86882426,0.85014771,0.89234099,0.9829624,,,,,,
