epoch,lr,train_loss,train_main_loss,train_aux_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,train_temporal_encoder_enabled,train_ttf_enabled,train_ttf_patch_count,train_ttf_temporal_len,val_loss,val_main_loss,val_aux_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy,val_temporal_encoder_enabled,val_ttf_enabled,val_ttf_patch_count,val_ttf_temporal_len
14,9.9994336e-06,1.2831221,1.2831221,,,,,,,,,,,,,,,,,,,0.019009399,0.00025609176,1.2831221,,0.45219014,,0.73804845,0.46441742,,,0.55754558,0.69766684,0.59165664,0.91436134,0.95016748,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,9.9991844e-06,1.3218275,1.3218275,,,,,,,,,,,,,,,,,,,0.018869019,0.00024259327,1.3218275,,0.46130682,,0.76979905,0.45360791,,,0.5010319,0.6421678,0.53616236,0.88704089,0.94707987,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,9.9988898e-06,1.2591141,1.2591141,,,,,,,,,,,,,,,,,,,0.018812052,0.00024399823,1.2591141,,0.44344234,,0.72630763,0.44682078,,,0.57638067,0.71224811,0.62228749,0.88258375,0.95099398,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,9.99855e-06,1.2529356,1.2529356,,,,,,,,,,,,,,,,,,,0.018997192,0.00027510894,1.2529356,,0.43803605,,0.72883233,0.43033618,,,0.57693738,0.71680895,0.61382581,0.91985867,0.95101109,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,9.9981649e-06,1.2826293,1.2826293,,,,,,,,,,,,,,,,,,,0.019297282,0.00035250787,1.2826293,,0.44139724,,0.75664422,0.42293941,,,0.53499563,0.67915698,0.56462177,0.91334141,0.95085537,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,9.9977344e-06,1.2098642,1.2098642,,,,,,,,,,,,,,,,,,,0.019415283,0.00038373708,1.2098642,,0.42106928,,0.70683722,0.40978816,,,0.6101386,0.74908169,0.6395218,0.93060644,0.95424225,1,1,1024,4,1.2346821,1.2346821,,,,,,,,,,,,,,,,,,,0.019475168,0.00036433811,1.2346821,,0.42325904,,0.72790461,0.41759203,,,0.57046574,0.70419153,0.60500144,0.93001939,0.94985526,1,1,1024,4
20,9.9972587e-06,1.2577306,1.2577306,,,,,,,,,,,,,,,,,,,0.019559733,0.00041113356,1.2577306,,0.43513945,,0.74123446,0.40678354,,,0.53907279,0.68090444,0.57910463,0.88929694,0.94754838,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,9.9967377e-06,1.2710832,1.2710832,,,,,,,,,,,,,,,,,,,0.019587199,0.00043462383,1.2710832,,0.43212611,,0.76032258,0.39317273,,,0.54364611,0.68974699,0.5756726,0.9079637,0.95579046,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,9.9961714e-06,1.2003079,1.2003079,,,,,,,,,,,,,,,,,,,0.019362386,0.00041378961,1.2003079,,0.4126609,,0.71014755,0.38749731,,,0.61502057,0.75186066,0.65146941,0.91723913,0.95832624,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,9.9955599e-06,1.2240941,1.2240941,,,,,,,,,,,,,,,,,,,0.019252523,0.00035994952,1.2240941,,0.41841238,,0.730278,0.37701829,,,0.58576116,0.72191841,0.61838023,0.91498519,0.9574628,1,1,1024,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
