epoch,lr,train_loss,train_main_loss,train_aux_loss,train_aux_boundary128_loss,train_bce_loss,train_dice_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_query_bce,train_loss_query_dice,train_loss_query_no_object,train_loss_query_weight_scale,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,train_local_attention_entropy,train_local_attention_max,train_local_candidate_count,train_local_delta_ratio,train_local_neighborhood_disabled,train_local_per_layer,train_local_spatial_radius,train_local_temporal_radius,train_relay_absorb_attention_max,train_relay_attention_entropy,train_relay_delta_ratio,train_relay_inject_attention_max,train_relay_token_norm,train_temporal_output_std,train_temporal_relay_disabled,val_loss,val_main_loss,val_aux_loss,val_aux_boundary128_loss,val_bce_loss,val_dice_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_query_bce,val_loss_query_dice,val_loss_query_no_object,val_loss_query_weight_scale,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy,val_local_attention_entropy,val_local_attention_max,val_local_candidate_count,val_local_delta_ratio,val_local_neighborhood_disabled,val_local_per_layer,val_local_spatial_radius,val_local_temporal_radius,val_relay_absorb_attention_max,val_relay_attention_entropy,val_relay_delta_ratio,val_relay_inject_attention_max,val_relay_token_norm,val_temporal_output_std,val_temporal_relay_disabled
2,1.9999988e-05,2.029315,1.2882356,0.74107935,0.74107935,0.52256207,0.76567355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33988569,0.46490567,0.3467321,0.88625335,0.85053558,3.0345542,0.27490462,27,0.19336422,0,1,1,1,0.0055913679,2.2930685,0.62021223,0.57385934,29.578957,1.0000184,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1.9999952e-05,1.982442,1.2849924,0.69744958,0.69744958,0.49294392,0.79204848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36145173,0.49974131,0.37933945,0.85243617,0.90613927,3.0345755,0.2825267,27,0.196388,0,1,1,1,0.0063357997,2.2897899,0.68118523,0.57263316,31.842341,1.0000139,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1.9999892e-05,1.8942561,1.2037409,0.69051517,0.69051517,0.46557041,0.7381705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49560935,0.64747195,0.52280005,0.90672041,0.93573604,3.0343469,0.25961916,27,0.19490907,0,1,1,1,0.0064032821,2.2902958,0.72681875,0.56794777,33.303593,0.99997769,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1.9999807e-05,1.8837994,1.2307374,0.65306196,0.65306196,0.4512818,0.77945559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48272429,0.63623362,0.53677141,0.85480884,0.94627227,3.0350844,0.27065128,27,0.19498529,0,1,1,1,0.006063138,2.2894769,0.7624078,0.56749924,34.786195,0.99991125,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1.9999699e-05,1.8811236,1.2228909,0.6582327,0.6582327,0.45626774,0.7666232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42254087,0.56334522,0.45883341,0.76598256,0.93601044,3.0340784,0.27471439,27,0.19713785,0,1,1,1,0.006498421,2.2895368,0.75179207,0.56429858,36.104174,0.99988091,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1.9999566e-05,1.8084207,1.1817866,0.62663406,0.62663406,0.41835391,0.76343272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.50082504,0.63534382,0.58898645,0.76203862,0.96180435,3.0338967,0.2773738,27,0.19675859,0,1,1,1,0.006181053,2.2892615,0.77945606,0.55504784,37.141934,0.99977306,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1.9999409e-05,1.7985741,1.1883485,0.61022564,0.61022564,0.43290265,0.75544581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.524579,0.6740118,0.59440929,0.82162218,0.95277317,3.0334201,0.26933908,27,0.19470333,0,1,1,1,0.0068993268,2.2880865,0.78049239,0.55912929,37.712464,0.99968965,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.1e-05,2.2512073,1.4865696,0.76463771,0.76463771,0.6162965,0.87027309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064669433,0.11843259,0.082361074,0.27541393,0.69886123,3.0346754,0.27610291,27,0.19205194,0,1,1,1,0.0060337032,2.2895636,0.58413104,0.58646575,27.614913,0.99998728,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2e-05,2.183144,1.433955,0.74918889,0.74918889,0.58533169,0.84862338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16357011,0.27069644,0.17414869,0.68867957,0.74350607,3.0342167,0.26331244,27,0.19402593,0,1,1,1,0.0054982102,2.2916468,0.58828382,0.58275847,27.67852,0.99999379,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1.9999988e-05,2.0233479,1.2866395,0.73670839,0.73670839,0.52341593,0.76322354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32935657,0.45758608,0.33485535,0.92916757,0.84010534,3.0347775,0.27683615,27,0.19347556,0,1,1,1,0.0058821803,2.2933949,0.6256097,0.57227492,29.405806,1.000016,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
