epoch,lr,train_loss,train_main_loss,train_aux_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_query_bce,train_loss_query_dice,train_loss_query_no_object,train_loss_query_weight_scale,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_main_loss,val_aux_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_query_bce,val_loss_query_dice,val_loss_query_no_object,val_loss_query_weight_scale,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy
1,0.000138,7.3538519,7.3538519,,,,,,,,,,,,,,,,,,,,,,,,,,0.88540347,,,,,,,0.066843498,0.11867849,0.068430748,0.65606634,0.36487395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.000192,6.1118992,6.1118992,,,,,,,,,,,,,,,,,,,,,,,,,,0.83686138,,,,,,,0,0,0,0,0.91785033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.000246,5.7236572,5.7236572,,,,,,,,,,,,,,,,,,,,,,,,,,0.72969985,,,,,,,0.053058913,0.09277098,0.053126612,0.46136959,0.65267813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0003,5.505758,5.505758,,,,,,,,,,,,,,,,,,,,,,,,,,0.69879073,,,,,,,0.16234912,0.25150467,0.31902186,0.72485272,0.60023754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.00029999699,5.1411058,5.1411058,,,,,,,,,,,,,,,,,,,,,,,,,,0.71625176,,,,,,,0.27093831,0.35916505,0.68740673,0.37798291,0.94113299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.00029998796,4.9386415,4.9386415,,,,,,,,,,,,,,,,,,,,,,,,,,0.7247478,,,,,,,0.46847706,0.61767929,0.65920971,0.65752361,0.94945728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0002999729,4.8142097,4.8142097,,,,,,,,,,,,,,,,,,,,,,,,,,0.73427785,,,,,,,0.47012569,0.60830725,0.83427975,0.52532865,0.9576095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.00029995183,4.6032288,4.6032288,,,,,,,,,,,,,,,,,,,,,,,,,,0.69899408,,,,,,,0.544888,0.68284905,0.69550936,0.73088554,0.95512106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.00029992473,4.6975435,4.6975435,,,,,,,,,,,,,,,,,,,,,,,,,,0.74350836,,,,,,,0.51285327,0.66140661,0.77669754,0.60978915,0.95201448,4.2007661,4.2007661,,,,,,,,,,,,,,,,,,,,,,,,,,0.67661541,,,,,,,0.6371099,0.75764661,0.74017807,0.83271701,0.96563242
10,0.00029989162,4.483919,4.483919,,,,,,,,,,,,,,,,,,,,,,,,,,0.71252678,,,,,,,0.55843632,0.70051671,0.62693577,0.85675035,0.95690275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.00029985249,4.4193857,4.4193857,,,,,,,,,,,,,,,,,,,,,,,,,,0.71212405,,,,,,,0.58831493,0.72859726,0.78816968,0.718384,0.96139988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.00029980734,4.2744199,4.2744199,,,,,,,,,,,,,,,,,,,,,,,,,,0.68772114,,,,,,,0.6349045,0.76792009,0.76877381,0.78078587,0.97073849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.00029975618,4.2774682,4.2774682,,,,,,,,,,,,,,,,,,,,,,,,,,0.68680842,,,,,,,0.61859495,0.75696143,0.72783416,0.80714532,0.97381189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.00029969901,4.1480195,4.1480195,,,,,,,,,,,,,,,,,,,,,,,,,,0.70081942,,,,,,,0.67703692,0.80031706,0.79558204,0.82438039,0.96982456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.00029963583,4.2110647,4.2110647,,,,,,,,,,,,,,,,,,,,,,,,,,0.678896,,,,,,,0.65757515,0.78514594,0.764101,0.82510278,0.97006015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.00029956664,4.0048752,4.0048752,,,,,,,,,,,,,,,,,,,,,,,,,,0.67453694,,,,,,,0.69870044,0.81330389,0.82188778,0.81752413,0.97437282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.00029949144,3.9621897,3.9621897,,,,,,,,,,,,,,,,,,,,,,,,,,0.67779224,,,,,,,0.71196727,0.82572782,0.82083331,0.84227479,0.97462462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00029941025,4.0986848,4.0986848,,,,,,,,,,,,,,,,,,,,,,,,,,0.67406946,,,,,,,0.62582019,0.75272616,0.82232508,0.72769003,0.97131116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00029932305,3.9786454,3.9786454,,,,,,,,,,,,,,,,,,,,,,,,,,0.66959821,,,,,,,0.68921441,0.81022111,0.73395801,0.9163216,0.96761599,3.6303121,3.6303121,,,,,,,,,,,,,,,,,,,,,,,,,,0.62041604,,,,,,,0.73234284,0.83236461,0.81448116,0.87269493,0.97767086
20,0.00029922986,3.9543486,3.9543486,,,,,,,,,,,,,,,,,,,,,,,,,,0.65951796,,,,,,,0.67888878,0.80130659,0.7942674,0.82174311,0.97382296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00029913069,3.956768,3.956768,,,,,,,,,,,,,,,,,,,,,,,,,,0.65120158,,,,,,,0.66781614,0.78863361,0.75305908,0.84335678,0.97382357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00029902552,3.8330596,3.8330596,,,,,,,,,,,,,,,,,,,,,,,,,,0.65901887,,,,,,,0.73412112,0.84058217,0.86003504,0.82768902,0.97671036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00029891437,3.8772119,3.8772119,,,,,,,,,,,,,,,,,,,,,,,,,,0.64364334,,,,,,,0.69265218,0.81085347,0.83469207,0.79856439,0.97755064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00029879724,3.7863932,3.7863932,,,,,,,,,,,,,,,,,,,,,,,,,,0.65858718,,,,,,,0.75601859,0.85600821,0.83839401,0.8793295,0.97900703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00029867414,3.7690849,3.7690849,,,,,,,,,,,,,,,,,,,,,,,,,,0.65373125,,,,,,,0.7496643,0.85398722,0.87412496,0.83993632,0.97949479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00029854508,3.8201038,3.8201038,,,,,,,,,,,,,,,,,,,,,,,,,,0.6415228,,,,,,,0.70774711,0.82129433,0.82662778,0.82133827,0.97866754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00029841004,3.7584839,3.7584839,,,,,,,,,,,,,,,,,,,,,,,,,,0.64762147,,,,,,,0.74392881,0.85043756,0.86264173,0.84223084,0.97903175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
