epoch,lr,train_loss,train_main_loss,train_aux_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,train_videomt_enabled,train_videomt_query_alpha,val_loss,val_main_loss,val_aux_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy,val_videomt_enabled,val_videomt_query_alpha
16,9.9988898e-06,1.2475361,1.2475361,,,,,,,,,,,,,,,,,,,,,1.2475361,,0.52053595,,0.72700016,0,,,0.49488373,0.63986664,0.53327914,0.85449123,0.91360083,1,-0.0031392066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,9.99855e-06,1.2627098,1.2627098,,,,,,,,,,,,,,,,,,,,,1.2627098,,0.51381835,,0.74889145,0,,,0.48902713,0.64891721,0.51396118,0.90949674,0.92508812,1,-0.0030245545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,9.9981649e-06,1.291284,1.291284,,,,,,,,,,,,,,,,,,,,,1.291284,,0.5196309,,0.77165312,0,,,0.44911966,0.58672119,0.46527881,0.91336474,0.91927287,1,-0.0028972963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,9.9977344e-06,1.2491539,1.2491539,,,,,,,,,,,,,,,,,,,,,1.2491539,,0.5088263,,0.74032755,0,,,0.50256149,0.65267015,0.52817941,0.91643354,0.92373244,1,-0.0027348649,1.2990557,1.2990557,,,,,,,,,,,,,,,,,,,,,1.2990557,,0.51807525,,0.78098048,0,,,0.42692328,0.56112714,0.4491686,0.92322718,0.9182102,1,-0.0026870731
20,9.9972587e-06,1.2886188,1.2886188,,,,,,,,,,,,,,,,,,,,,1.2886188,,0.51569957,,0.7729192,0,,,0.45784611,0.60824142,0.47877634,0.88304254,0.92585576,1,-0.0027123385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,9.9967377e-06,1.3163466,1.3163466,,,,,,,,,,,,,,,,,,,,,1.3163466,,0.52624577,,0.79010084,0,,,0.42254701,0.56406595,0.44727261,0.87327617,0.91601257,1,-0.002924109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,9.9961714e-06,1.2301885,1.2301885,,,,,,,,,,,,,,,,,,,,,1.2301885,,0.49672614,,0.73346233,0,,,0.5108683,0.6621415,0.53334657,0.92592326,0.9304464,1,-0.0030938354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,9.9955599e-06,1.2846993,1.2846993,,,,,,,,,,,,,,,,,,,,,1.2846993,,0.50575471,,0.77894462,0,,,0.46805022,0.62365495,0.48312879,0.95310856,0.93543768,1,-0.0029912013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,9.994903e-06,1.2790715,1.2790715,,,,,,,,,,,,,,,,,,,,,1.2790715,,0.51404683,,0.76502469,0,,,0.44043575,0.58245891,0.47398859,0.86221552,0.91729902,1,-0.0030147503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,9.9942009e-06,1.2620855,1.2620855,,,,,,,,,,,,,,,,,,,,,1.2620855,,0.49809834,,0.76398712,0,,,0.49063018,0.64860756,0.51174972,0.91866042,0.9339865,1,-0.0029920296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
