# model=B23VideoMTWindowModel tfcu=videomt_window lora_rank=32 input_size=512 num_clips=1 num_frames=4
# loss=videomt aux=
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=2 lr=0.0001 params_total=343355218 params_trainable=40201042
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,train_videomt_enabled,train_videomt_query_alpha,val_loss,val_main_loss,val_aux_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy,val_videomt_enabled,val_videomt_query_alpha
195,9.2386355e-06,0.83761256,0.83761256,,,,,,,,,,,,,,,,,,,,,0.83761256,,0.24658757,,0.59102499,0,,,0.6807851,0.80077186,0.7430053,0.87281246,0.96489941,1,-0.0047466467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,9.2306691e-06,0.86725386,0.86725386,,,,,,,,,,,,,,,,,,,,,0.86725386,,0.24542096,,0.6218329,0,,,0.68994603,0.8086765,0.74935485,0.89064815,0.96851969,1,-0.0048149042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,9.2226651e-06,0.88413105,0.88413105,,,,,,,,,,,,,,,,,,,,,0.88413105,,0.25355914,,0.63057192,0,,,0.65235414,0.773357,0.70107826,0.89097466,0.96449331,1,-0.0047725228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,9.2146235e-06,0.88932301,0.88932301,,,,,,,,,,,,,,,,,,,,,0.88932301,,0.24792958,,0.64139343,0,,,0.6704101,0.79298618,0.71269772,0.90601548,0.97098541,1,-0.0047976078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,9.2065446e-06,0.85628291,0.85628291,,,,,,,,,,,,,,,,,,,,,0.85628291,,0.24803309,,0.60824981,0,,,0.65876018,0.77740542,0.70811922,0.86625169,0.96348384,1,-0.0047141895,0.84486871,0.84486871,,,,,,,,,,,,,,,,,,,,,0.84486871,,0.21468886,,0.63017985,0,,,0.68487373,0.79412622,0.72375508,0.92434087,0.97919273,1,-0.0046975175
200,9.1984284e-06,0.85563587,0.85563587,,,,,,,,,,,,,,,,,,,,,0.85563587,,0.2474688,,0.60816707,0,,,0.66764538,0.79202347,0.73813052,0.86213634,0.9641818,1,-0.0047655167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,9.1902749e-06,0.89633794,0.89633794,,,,,,,,,,,,,,,,,,,,,0.89633794,,0.24994896,,0.64638899,0,,,0.63271339,0.76605455,0.67795391,0.89692035,0.96465467,1,-0.0047871526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,9.1820842e-06,0.81343415,0.81343415,,,,,,,,,,,,,,,,,,,,,0.81343415,,0.23132806,,0.58210609,0,,,0.70321833,0.82310735,0.75469658,0.91022789,0.968472,1,-0.0047310259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,9.1738565e-06,0.8798111,0.8798111,,,,,,,,,,,,,,,,,,,,,0.8798111,,0.2428332,,0.63697791,0,,,0.6537566,0.78224659,0.72355078,0.86132444,0.96888323,1,-0.0046287993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,9.1655918e-06,0.8719363,0.8719363,,,,,,,,,,,,,,,,,,,,,0.8719363,,0.25504214,,0.61689415,0,,,0.61866418,0.74890159,0.65767843,0.91236715,0.95935313,1,-0.0044828881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
