# model=B23VideoMTWindowModel tfcu=videomt_window_final_fast lora_rank=32 input_size= num_clips=1 num_frames=5
# loss=videomt_query_mask + 1*query_mask aux=
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=1 lr=0.0001 params_total=309258322 params_trainable=6104146
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_query_bce,train_loss_query_dice,train_loss_query_no_object,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,train_videomt_enabled,train_videomt_final,val_loss,val_main_loss,val_aux_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_query_bce,val_loss_query_dice,val_loss_query_no_object,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy,val_videomt_enabled,val_videomt_final
13,4.937888e-05,0.66871434,0.66871434,,,,,,,,,,,,,,,,,,,,,0.66871434,,0.10948499,,0.28734843,0.56411644,0.078747865,0.37402573,0.172883,,,0.61735379,0.74765869,0.72119213,0.79156948,0.9739,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4.9223465e-05,0.72642458,0.72642458,,,,,,,,,,,,,,,,,,,,,0.72642458,,0.12864542,,0.29588388,0.54794161,0.094487749,0.41507335,0.19717665,,,0.60212935,0.73360162,0.68742899,0.81129656,0.96779885,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4.9067995e-05,0.67495819,0.67495819,,,,,,,,,,,,,,,,,,,,,0.67495819,,0.10310376,,0.29412699,0.53145299,0.076341232,0.39351274,0.162278,,,0.60936216,0.73758755,0.71205425,0.77978693,0.97554358,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4.891247e-05,0.63478767,0.63478767,,,,,,,,,,,,,,,,,,,,,0.63478767,,0.093962935,,0.26219487,0.5156228,0.073278563,0.39709621,0.17661342,,,0.64855586,0.77140921,0.73294901,0.82535306,0.97582998,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,4.8756891e-05,0.60890964,0.60890964,,,,,,,,,,,,,,,,,,,,,0.60890964,,0.092325897,,0.27200768,0.49571777,0.064513385,0.3423614,0.16352778,,,0.6268272,0.75663891,0.71322081,0.82588468,0.97744466,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,4.8601256e-05,0.58105643,0.58105643,,,,,,,,,,,,,,,,,,,,,0.58105643,,0.091868748,,0.23726082,0.47952934,0.070951622,0.34894162,0.18003774,,,0.66959184,0.79212634,0.77520288,0.82233132,0.97783207,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4.8445566e-05,0.63473136,0.63473136,,,,,,,,,,,,,,,,,,,,,0.63473136,,0.093789525,,0.27298215,0.46592125,0.071833431,0.38477463,0.16359592,,,0.62418625,0.75412497,0.72175508,0.8090898,0.97692478,1,1,0.77131581,0.77131581,,,,,,,,,,,,,,,,,,,,,0.77131581,,0.16673071,,0.32491017,0.45170551,0.10621879,0.36646406,0.20748215,,,0.57928733,0.70375525,0.69057258,0.79022957,0.96755057,1,1
20,4.828982e-05,0.61692,0.61692,,,,,,,,,,,,,,,,,,,,,0.61692,,0.10768461,,0.23642087,0.45412933,0.078528636,0.38098079,0.20353346,,,0.67389706,0.79273558,0.7591695,0.84273762,0.97360835,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,4.8134019e-05,0.54586281,0.54586281,,,,,,,,,,,,,,,,,,,,,0.54586281,,0.089568451,,0.22370449,0.43800604,0.06517467,0.3187112,0.1874663,,,0.68243367,0.799519,0.77099235,0.84026535,0.97825975,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,4.7978161e-05,0.63415513,0.63415513,,,,,,,,,,,,,,,,,,,,,0.63415513,,0.10140477,,0.26587754,0.4268185,0.073765555,0.38474425,0.16276995,,,0.63298422,0.76080133,0.72703049,0.81082236,0.97551914,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,4.7822247e-05,0.59215263,0.59215263,,,,,,,,,,,,,,,,,,,,,0.59215263,,0.098970987,,0.24247043,0.41745884,0.07247654,0.3489212,0.19139402,,,0.66912657,0.78552727,0.75481273,0.83501915,0.97602183,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,4.7666277e-05,0.63157228,0.63157228,,,,,,,,,,,,,,,,,,,,,0.63157228,,0.0977381,,0.25831844,0.40420455,0.077039528,0.40358911,0.14991196,,,0.6426567,0.76951676,0.75042952,0.81245747,0.97715264,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,4.751025e-05,0.59781159,0.59781159,,,,,,,,,,,,,,,,,,,,,0.59781159,,0.099736206,,0.24806601,0.39649284,0.071903473,0.3471139,0.20676037,,,0.65835473,0.78131958,0.75520663,0.82226588,0.97507365,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,4.7354166e-05,0.55952054,0.55952054,,,,,,,,,,,,,,,,,,,,,0.55952054,,0.096055992,,0.22847884,0.38566955,0.068519393,0.32531288,0.18786095,,,0.67809252,0.79836686,0.77206487,0.84020338,0.97792437,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,4.7198024e-05,0.59034404,0.59034404,,,,,,,,,,,,,,,,,,,,,0.59034404,,0.094031784,,0.24157882,0.37677775,0.069209563,0.36721666,0.17681438,,,0.66543983,0.78861257,0.74910581,0.84210683,0.97555667,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,4.7041826e-05,0.51477324,0.51477324,,,,,,,,,,,,,,,,,,,,,0.51477324,,0.083390529,,0.21875845,0.36452659,0.061890931,0.28945665,0.18724133,,,0.68925237,0.80589371,0.77310256,0.85182799,0.97897511,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,4.6885569e-05,0.52304047,0.52304047,,,,,,,,,,,,,,,,,,,,,0.52304047,,0.08322035,,0.21568251,0.35313622,0.063675962,0.31831296,0.15486337,,,0.68770643,0.80893269,0.7790381,0.85158128,0.9791532,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,4.6729255e-05,0.46168171,0.46168171,,,,,,,,,,,,,,,,,,,,,0.46168171,,0.075093367,,0.19471422,0.34583633,0.05780954,0.25265267,0.193512,,,0.72221026,0.82662327,0.79551079,0.86752529,0.98124134,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,4.6572883e-05,0.52527592,0.52527592,,,,,,,,,,,,,,,,,,,,,0.52527592,,0.086724682,,0.20618005,0.3392936,0.061795816,0.33771383,0.1565169,,,0.70700384,0.8184272,0.79811935,0.85312266,0.9783783,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,4.6416452e-05,0.53314943,0.53314943,,,,,,,,,,,,,,,,,,,,,0.53314943,,0.076091858,,0.22440592,0.3275955,0.060852098,0.34855614,0.11567757,,,0.68315831,0.8044357,0.77023586,0.85253335,0.98079188,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,4.6259963e-05,0.5196349,0.5196349,,,,,,,,,,,,,,,,,,,,,0.5196349,,0.07639201,,0.22373707,0.31872146,0.054541057,0.33936609,0.0661617,,,0.68171415,0.80412692,0.78335821,0.835306,0.9810222,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,4.6103415e-05,0.48915209,0.48915209,,,,,,,,,,,,,,,,,,,,,0.48915209,,0.081409099,,0.20467117,0.31647903,0.058407388,0.30579164,0.051483507,,,0.70544835,0.81928873,0.79601106,0.85241103,0.98045823,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,4.5946807e-05,0.5226396,0.5226396,,,,,,,,,,,,,,,,,,,,,0.5226396,,0.081566395,,0.23618285,0.31134804,0.053899833,0.31960494,0.025705637,,,0.67773686,0.78930567,0.75723347,0.83587485,0.97997666,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,4.5790141e-05,0.50580839,0.50580839,,,,,,,,,,,,,,,,,,,,,0.50580839,,0.084613907,,0.21285683,0.30279475,0.060480002,0.32147597,0.022199341,,,0.6928688,0.81040903,0.78174659,0.84976631,0.97868118,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,4.5633415e-05,0.5247461,0.5247461,,,,,,,,,,,,,,,,,,,,,0.5247461,,0.093070608,,0.22089087,0.29952743,0.057123968,0.33152835,0.014820919,,,0.68535508,0.80196123,0.77903366,0.8369799,0.97760684,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,4.5476629e-05,0.4552619,0.4552619,,,,,,,,,,,,,,,,,,,,,0.4552619,,0.075860611,,0.19490297,0.29182759,0.052101456,0.28299582,0.023583114,,,0.71393792,0.82679066,0.80036011,0.86867614,0.98051103,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
