# model=B23TFCUCCMFGMLiteModel tfcu=ccm_lite lora_rank=32 input_size=512 num_clips=4 num_frames=4
# loss=1*dice + 0.5*bce + 0.2*tversky + 0.15*boundary aux=0.05*ccm_mask32 + 0.2*mask128 + 0.1*boundary128
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=1 lr=0.0001 params_total=318243477 params_trainable=14444213
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_aux_boundary128_loss,train_aux_ccm_mask32_loss,train_aux_mask128_loss,train_bce_loss,train_boundary_loss,train_dice_loss,train_tversky_loss,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_iou,val_f1,val_precision,val_recall,val_accuracy
25,9.9942009e-06,1.3902209,1.1200656,0.2701553,0.4990839,0.38714095,1.0044493,0.47664444,0.067337454,0.74166917,0.64986778,0.58247615,0.72125722,0.61886128,0.9107432,0.95619219,,,,,,
26,9.9934536e-06,1.403282,1.1260898,0.27719223,0.49209399,0.48222395,1.0193582,0.48946271,0.073354952,0.73967042,0.65342367,0.53604791,0.67268032,0.57307784,0.88042665,0.94376183,,,,,,
27,9.992661e-06,1.3888297,1.1180259,0.27080384,0.48403659,0.45172755,0.999069,0.48030338,0.068385162,0.73746401,0.65076183,0.54278578,0.6839364,0.58028635,0.89174862,0.95033205,,,,,,
28,9.9918231e-06,1.3473455,1.0901203,0.25722523,0.47391261,0.38756238,0.95227923,0.46270579,0.071959171,0.72210212,0.62935698,0.60197427,0.7270175,0.63259942,0.89890205,0.95487796,,,,,,
29,9.99094e-06,1.3027179,1.056154,0.24656385,0.46558005,0.34645347,0.91341582,0.44403269,0.069206395,0.70199381,0.60881459,0.63403739,0.76722276,0.67329525,0.92760969,0.96133421,1.3327041,0.60999117,0.74354101,0.62083431,0.96790245,0.95073726
30,9.9900117e-06,1.3488317,1.0935942,0.25523756,0.45747908,0.39812431,0.94791716,0.45806023,0.070107884,0.7268495,0.63599173,0.59952169,0.72963866,0.63531858,0.90245499,0.95732861,,,,,,
31,9.9890382e-06,1.3468617,1.0910071,0.25585455,0.4527029,0.4261839,0.94637531,0.46386277,0.06947333,0.72190345,0.63375626,0.5674978,0.70068896,0.60968536,0.88146556,0.95253086,,,,,,
32,9.9880195e-06,1.3217988,1.0758488,0.24594996,0.44224826,0.36903747,0.91636628,0.45016272,0.072599932,0.71521744,0.62330003,0.59972943,0.73355192,0.63340226,0.91135315,0.95831546,,,,,,
33,9.9869556e-06,1.3829433,1.125674,0.25726926,0.43360912,0.41504164,0.9657813,0.46156586,0.069822179,0.75172219,0.66347783,0.56206176,0.70611162,0.60157714,0.89979997,0.95710665,,,,,,
34,9.9858465e-06,1.375833,1.120134,0.25569901,0.42775319,0.44466225,0.95345287,0.46460096,0.068351933,0.74618619,0.65697286,0.54684576,0.68424773,0.57593358,0.89859412,0.95707813,,,,,,
35,9.9846922e-06,1.3422983,1.0974222,0.24487619,0.4191769,0.38877863,0.9175978,0.44921508,0.071595398,0.73396353,0.640559,0.58776677,0.72461787,0.61914577,0.90520671,0.95944166,,,,,,
36,9.9834928e-06,1.3180899,1.0796061,0.23848378,0.41272992,0.36681329,0.89435059,0.4409946,0.069284325,0.72258953,0.63063329,0.61271959,0.74268159,0.64050192,0.91702822,0.96238228,,,,,,
37,9.9822482e-06,1.3000067,1.0660936,0.23391309,0.40557714,0.37247105,0.87365909,0.43456184,0.068236195,0.71432716,0.62125034,0.60523076,0.73297888,0.63887104,0.90881707,0.95982481,,,,,,
38,9.9809585e-06,1.2852744,1.0554874,0.22978709,0.39933914,0.35805627,0.85975177,0.43096779,0.073308875,0.70646553,0.61270803,0.61740074,0.75007773,0.644451,0.92985002,0.95977724,,,,,,
39,9.9796237e-06,1.3355699,1.0967958,0.23877413,0.39220171,0.39454673,0.89913311,0.44660156,0.069268674,0.73434907,0.64377825,0.57614613,0.70981336,0.60478778,0.8971435,0.95974157,1.2289598,0.70239296,0.81380301,0.73667623,0.93433716,0.97006678
40,9.9782437e-06,1.286419,1.0586762,0.22774278,0.38687155,0.35387178,0.85681015,0.42952644,0.068775945,0.70958519,0.62005697,0.60945451,0.74096642,0.64932293,0.91593403,0.95756653,,,,,,
41,9.9768187e-06,1.302454,1.0729308,0.2295232,0.38015989,0.37561094,0.86363333,0.43130209,0.068064113,0.72085676,0.6310669,0.59247713,0.72397326,0.62420993,0.89304855,0.96078524,,,,,,
42,9.9753485e-06,1.2744669,1.0531767,0.22129021,0.3718587,0.36253009,0.82988912,0.4201289,0.068411439,0.7099468,0.61451875,0.62712755,0.75452673,0.65947524,0.91330121,0.96405725,,,,,,
43,9.9738333e-06,1.2492958,1.0340514,0.21524442,0.36743755,0.33435047,0.80891573,0.41418603,0.06828487,0.69674317,0.59986219,0.63696891,0.7655753,0.66835204,0.91207475,0.96239777,,,,,,
44,9.9722731e-06,1.2322562,1.0202293,0.21202684,0.3633485,0.34137246,0.79311683,0.41266376,0.069040125,0.68549583,0.59022792,0.6252431,0.75328478,0.6608328,0.91435254,0.96041073,,,,,,
45,9.9706678e-06,1.2266816,1.0164509,0.21023068,0.35664577,0.35957664,0.78293636,0.40827529,0.073710851,0.68390235,0.58677115,0.64287682,0.77368436,0.67513299,0.92018278,0.96199093,,,,,,
46,9.9690175e-06,1.2578435,1.0454594,0.21238411,0.34952434,0.3397648,0.80221717,0.40732585,0.067809613,0.70919008,0.61217464,0.64140725,0.77592373,0.67548772,0.92564564,0.96463438,,,,,,
47,9.9673222e-06,1.2145833,1.0120315,0.20255178,0.34403433,0.31498526,0.76199537,0.39856795,0.070298929,0.68475791,0.58722366,0.65051186,0.77603236,0.67653737,0.93492782,0.96517421,,,,,,
48,9.9655819e-06,1.2819996,1.0641219,0.21787769,0.34131623,0.37946237,0.82386471,0.41331402,0.068639829,0.72090278,0.63133063,0.60360134,0.73754244,0.64831857,0.89309691,0.95975441,,,,,,
49,9.9637967e-06,1.223772,1.0194787,0.20429325,0.33453416,0.34848567,0.76707775,0.40468461,0.072932392,0.68735477,0.59420889,0.61864795,0.74451274,0.64976213,0.91750402,0.96017348,1.1842827,0.70108858,0.81358724,0.72638331,0.9474061,0.96946671
50,9.9619664e-06,1.264018,1.0545512,0.20946676,0.32846422,0.35251462,0.79497304,0.40456088,0.066228001,0.7173442,0.62496174,0.59924811,0.7398844,0.63179025,0.91209003,0.96473074,,,,,,
51,9.9600913e-06,1.1973583,1.0000636,0.19729468,0.32520996,0.34140535,0.73851707,0.38898994,0.068592511,0.67835851,0.58460618,0.63867334,0.76258108,0.66767128,0.92400433,0.96485264,,,,,,
52,9.9581713e-06,1.2210914,1.0231364,0.19795502,0.31825102,0.32866382,0.74848362,0.39185356,0.070096267,0.69687597,0.59909587,0.63773325,0.76991467,0.66426732,0.93421588,0.96514241,,,,,,
53,9.9562063e-06,1.1828803,0.99271148,0.19016885,0.3140756,0.31326329,0.71549059,0.38453083,0.069889861,0.6749106,0.57525993,0.65606632,0.78428518,0.68580977,0.936178,0.96387292,,,,,,
54,9.9541965e-06,1.2586527,1.0560666,0.20258612,0.30749556,0.345991,0.77268505,0.39521458,0.066953498,0.7223989,0.63008687,0.60617806,0.73643853,0.63337959,0.92229658,0.96419338,,,,,,
55,9.9521418e-06,1.2044076,1.0092494,0.19515818,0.30753755,0.35394147,0.73353675,0.38724036,0.068388544,0.68681049,0.59280243,0.64127335,0.77076987,0.68323932,0.91006532,0.96321956,,,,,,
56,9.9500423e-06,1.2565597,1.0546734,0.20188627,0.30025188,0.36130661,0.76897873,0.39474714,0.067923736,0.72112913,0.62991067,0.59844379,0.73066261,0.6259151,0.91348583,0.96411357,,,,,,
57,9.947898e-06,1.1550196,0.97433847,0.1806811,0.29473834,0.30971795,0.67860686,0.37220467,0.06790626,0.66476853,0.56640832,0.66669205,0.78694447,0.69095467,0.93632556,0.96793461,,,,,,
58,9.9457089e-06,1.2390595,1.0452934,0.1937661,0.2875579,0.33457974,0.7414066,0.38341633,0.0641525,0.71893293,0.62514729,0.61618033,0.74057075,0.6380288,0.9134347,0.96706035,,,,,,
59,9.943475e-06,1.1899245,1.0053262,0.18459837,0.28654355,0.31696407,0.70047904,0.37381594,0.069428345,0.68949474,0.59254607,0.64325622,0.77020353,0.66982432,0.93066293,0.96782741,1.107245,0.72746931,0.83122032,0.76362966,0.93482951,0.97371207
60,9.9411964e-06,1.1598902,0.9790869,0.18080327,0.28345897,0.3212679,0.68196987,0.36873102,0.068998647,0.66929337,0.57539101,0.65151195,0.77375042,0.68533918,0.92787785,0.96388701,,,,,,
61,9.938873e-06,1.2391887,1.0487556,0.19043316,0.2740895,0.33797031,0.73062846,0.3774047,0.064153167,0.72422675,0.63101732,0.61391616,0.73835525,0.63858879,0.91095875,0.96762374,,,,,,
62,9.936505e-06,1.1851087,1.0015171,0.18359161,0.27623258,0.3596198,0.68993681,0.37365069,0.075985708,0.68581683,0.5873851,0.61962479,0.75142647,0.64924533,0.91267121,0.96347505,,,,,,
63,9.9340923e-06,1.1659874,0.9881206,0.1778668,0.27240586,0.32273069,0.67244836,0.35863095,0.067829463,0.68127485,0.58677928,0.6424223,0.76822529,0.67251304,0.92216545,0.96878649,,,,,,
64,9.9316349e-06,1.1330263,0.9625192,0.17050711,0.26824503,0.30191761,0.64293363,0.35062992,0.066197692,0.6640223,0.56626152,0.6736856,0.79699138,0.70628031,0.93038894,0.96822749,,,,,,
65,9.9291329e-06,1.2247077,1.0419288,0.18277895,0.25910571,0.30847105,0.70722413,0.36436345,0.059535365,0.72453779,0.63139474,0.63090073,0.76206236,0.65480985,0.93375039,0.9715905,,,,,,
66,9.9265863e-06,1.186053,1.0068966,0.17915632,0.25995639,0.33559101,0.68190564,0.36344057,0.063560889,0.69517016,0.60236024,0.62713102,0.75329091,0.65792555,0.91696708,0.96697551,,,,,,
67,9.9239951e-06,1.1758885,1.0014919,0.17439666,0.25387843,0.31601521,0.66604028,0.35637197,0.064363988,0.69373543,0.59957922,0.63849746,0.76150591,0.66175164,0.94068243,0.96801605,,,,,,
68,9.9213594e-06,1.173105,0.99698644,0.17611861,0.25221719,0.33199006,0.67148694,0.3524116,0.06317112,0.69115202,0.60076472,0.63460122,0.75942501,0.67190845,0.89817585,0.96941481,,,,,,
69,9.9186791e-06,1.1039774,0.94166878,0.16230861,0.24974863,0.31394328,0.60818291,0.3403439,0.068884909,0.65066905,0.55247524,0.66876087,0.79049233,0.69982564,0.92269842,0.96698124,1.0756649,0.73904879,0.83901457,0.77519687,0.93578139,0.97558343
70,9.9159544e-06,1.0838284,0.92751734,0.1563111,0.24553649,0.29383478,0.58532857,0.33247454,0.065097644,0.64304629,0.5423457,0.68328388,0.80200691,0.71745794,0.92673966,0.96874835,,,,,,
71,9.9131852e-06,1.0993057,0.94435196,0.15495372,0.24236029,0.27355211,0.58520042,0.33468667,0.071286251,0.65602102,0.55147339,0.68069752,0.80226947,0.70635896,0.94172449,0.96899261,,,,,,
72,9.9103715e-06,1.1248796,0.96300739,0.1618722,0.2374894,0.32065433,0.6104527,0.34251909,0.067118592,0.66797973,0.56850166,0.64958708,0.77150344,0.67656293,0.92317449,0.96886036,,,,,,
73,9.9075135e-06,1.1612071,0.99043653,0.17077062,0.2370124,0.34776901,0.64840461,0.35294122,0.068873345,0.68532893,0.59152994,0.61408103,0.74443117,0.64292519,0.92145034,0.96531707,,,,,,
74,9.904611e-06,1.1328236,0.96943291,0.16339064,0.23296578,0.32053861,0.62033563,0.33895167,0.065031059,0.67391539,0.58143515,0.6471847,0.76660452,0.67845398,0.91033617,0.96910721,,,,,,
75,9.9016642e-06,1.1410043,0.97648727,0.16451707,0.23094542,0.34686231,0.62039703,0.34060179,0.065699697,0.67974534,0.58293036,0.62582495,0.7520977,0.66129819,0.90069366,0.96587968,,,,,,
76,9.8986731e-06,1.1028252,0.94385942,0.15896582,0.23063827,0.32479791,0.59831048,0.33064703,0.069439673,0.65572878,0.56195585,0.64577001,0.77320454,0.67883916,0.91947831,0.96753887,,,,,,
77,9.8956376e-06,1.1121541,0.96114851,0.15100563,0.21974459,0.27156254,0.57726522,0.32232004,0.062997868,0.67599755,0.57270625,0.6681802,0.79433797,0.69058075,0.94837143,0.97160192,,,,,,
78,9.892558e-06,1.1236755,0.96647726,0.1571982,0.22081364,0.32019623,0.59553512,0.32697577,0.064093357,0.67736423,0.58005565,0.64331462,0.76931062,0.67512614,0.91386327,0.97009489,,,,,,
79,9.889434e-06,1.118457,0.96364176,0.1548152,0.21708266,0.30918742,0.58823778,0.32301054,0.066729191,0.67648389,0.57821618,0.65382831,0.78032707,0.68425644,0.92783124,0.97141211,1.0278977,0.72127296,0.82689909,0.74811602,0.94878092,0.97232828
80,9.8862659e-06,1.0191585,0.88164855,0.13750993,0.21476987,0.2836275,0.50925785,0.31106973,0.06888374,0.61361039,0.51085369,0.69413993,0.80556204,0.7182275,0.93606505,0.96999811,,,,,,
81,9.8830536e-06,1.101962,0.95183855,0.15012349,0.21168395,0.30051261,0.56964731,0.31681249,0.065869782,0.66957406,0.56988888,0.65091801,0.78045925,0.68112954,0.9296246,0.97107552,,,,,,
82,9.8797972e-06,1.0735458,0.92760715,0.14593862,0.20963459,0.2835935,0.55397741,0.31016585,0.060530919,0.65245064,0.55496972,0.6817417,0.80171155,0.71504547,0.93659721,0.97155014,,,,,,
83,9.8764967e-06,1.0949696,0.94421938,0.15075021,0.20879246,0.30504165,0.57309439,0.31832942,0.065021225,0.66216668,0.56567405,0.65045879,0.7791816,0.68295907,0.92516252,0.9682145,,,,,,
84,9.8731521e-06,1.0973447,0.94884331,0.14850137,0.2048196,0.3055648,0.56370584,0.31638841,0.066354522,0.66695642,0.56869753,0.63830249,0.76430677,0.66391081,0.93090278,0.96877493,,,,,,
85,9.8697634e-06,1.0422307,0.90102722,0.14120347,0.20508264,0.28891426,0.53124748,0.30794953,0.067579439,0.63042786,0.53243844,0.68107611,0.79936572,0.71099541,0.93609422,0.96757482,,,,,,
86,9.8663308e-06,1.1374684,0.98043178,0.15703665,0.20136715,0.33525887,0.60068494,0.31765474,0.062550203,0.69223095,0.59995466,0.63555338,0.76170976,0.67367659,0.90794939,0.96953841,,,,,,
87,9.8628542e-06,1.0689938,0.92543283,0.14356094,0.19827449,0.29924582,0.54385599,0.30018129,0.062321121,0.65410351,0.55945249,0.66910117,0.79025583,0.7021423,0.92084551,0.97206743,,,,,,
88,9.8593336e-06,1.0701235,0.9291481,0.14097544,0.19520426,0.29035941,0.53468524,0.30094087,0.064449465,0.65725116,0.55879542,0.66947077,0.79103248,0.69550323,0.93802779,0.9714505,,,,,,
89,9.8557692e-06,1.0747105,0.9320558,0.14265471,0.19485308,0.31427396,0.53727851,0.29664628,0.069362184,0.66063209,0.5634812,0.64432215,0.77341626,0.67689051,0.91994373,0.97112565,0.98775252,0.73282878,0.83490998,0.75876182,0.94933546,0.97416268
90,9.8521608e-06,1.0857917,0.93977739,0.14601428,0.19521911,0.31584082,0.55350163,0.30773039,0.069059057,0.66253203,0.56510647,0.64021445,0.77030685,0.67889072,0.91093252,0.96731246,,,,,,
91,9.8485087e-06,1.0115731,0.87934406,0.13222903,0.19172198,0.28135179,0.49494622,0.29026727,0.069086467,0.61972768,0.52059886,0.68384868,0.80279652,0.71992391,0.92786459,0.96907287,,,,,,
92,9.8448128e-06,1.0162225,0.88404923,0.13217328,0.18735204,0.29414993,0.49365287,0.29285699,0.06738219,0.62282254,0.52345436,0.67822086,0.79231873,0.70425405,0.93958185,0.96941528,,,,,,
93,9.8410731e-06,0.98218236,0.85601268,0.12616968,0.18992693,0.28389664,0.46491076,0.2812257,0.071068718,0.60416769,0.50285916,0.69448581,0.81328417,0.72631941,0.93638778,0.97034566,,,,,,
94,9.8372897e-06,1.0281195,0.89248641,0.13563304,0.18340612,0.30834164,0.50937673,0.29002986,0.062991764,0.63065161,0.53685551,0.67325429,0.79177678,0.70767533,0.92793634,0.97119935,,,,,,
95,9.8334626e-06,0.97529062,0.85052498,0.12476565,0.18566704,0.27504675,0.46223301,0.27854987,0.068805224,0.60080736,0.50060957,0.70483159,0.81972494,0.74141297,0.92810981,0.97011183,,,,,,
96,9.8295919e-06,0.98407874,0.86001653,0.12406221,0.18217676,0.28204203,0.45871214,0.27731043,0.070805567,0.6095667,0.50586886,0.69123256,0.81164029,0.72366599,0.93524381,0.97105163,,,,,,
97,9.8256776e-06,1.005318,0.878516,0.12680205,0.17669173,0.27823737,0.47610501,0.27739743,0.065956977,0.62491235,0.52505697,0.67234203,0.79462553,0.69850005,0.939894,0.9716677,,,,,,
98,9.8217198e-06,0.99564247,0.86813226,0.12751022,0.17932475,0.29506459,0.47412256,0.27958341,0.066981,0.61528483,0.51504282,0.68344872,0.80214321,0.72609626,0.91198536,0.9690944,,,,,,
99,9.8177184e-06,1.0072999,0.88334599,0.12395394,0.17174077,0.27522171,0.46509385,0.27414569,0.063514984,0.63116473,0.52790582,0.69130806,0.80840428,0.71963342,0.93422097,0.97348641,0.95250789,0.73661503,0.83862023,0.76726961,0.94211091,0.97534617
100,9.8136735e-06,0.9694548,0.84719889,0.12225591,0.17400188,0.28132905,0.45394635,0.26751233,0.066212692,0.60255032,0.50480252,0.68991248,0.80375078,0.72633136,0.91538497,0.97159187,,,,,,
101,9.8095852e-06,0.98390066,0.86452265,0.11937801,0.16474037,0.26684433,0.44780878,0.26771573,0.063305521,0.6180031,0.51582926,0.69295714,0.80992223,0.72270451,0.94079756,0.97321156,,,,,,
102,9.8054535e-06,0.98467941,0.85605903,0.12862039,0.17168376,0.33083635,0.47455097,0.28200648,0.07091876,0.60321549,0.50601246,0.65863071,0.7770979,0.69215195,0.91109089,0.96764747,,,,,,
103,9.8012785e-06,0.98371964,0.86165859,0.12206105,0.16841766,0.27428675,0.45752473,0.26507272,0.065938788,0.61577468,0.51728367,0.69678275,0.81194905,0.72601724,0.93520865,0.97238834,,,,,,
104,9.7970601e-06,0.99186855,0.86619998,0.12566858,0.16528947,0.31279258,0.46749999,0.27469749,0.067455851,0.61554522,0.51593818,0.65931492,0.77779676,0.69426168,0.90069002,0.96894811,,,,,,
105,9.7927984e-06,0.9595982,0.83837035,0.12122784,0.16639773,0.29528027,0.44912026,0.26328968,0.066612446,0.59650246,0.50115592,0.67627824,0.79310485,0.71106091,0.9243991,0.97031755,,,,,,
106,9.7884936e-06,1.0117677,0.88628746,0.12548028,0.15909454,0.30280527,0.4721528,0.26413188,0.063805311,0.63676999,0.53940365,0.67136357,0.78803131,0.70384077,0.91770898,0.97369939,,,,,,
107,9.7841455e-06,0.95943101,0.84503983,0.11439118,0.15561416,0.26536088,0.42780858,0.24978781,0.061599665,0.6089129,0.50996539,0.70199022,0.80766008,0.7313895,0.91919419,0.97669156,,,,,,
108,9.7797543e-06,0.91809209,0.80676057,0.11133153,0.16176844,0.27264254,0.40761277,0.24941852,0.067429171,0.57684022,0.47548361,0.70687177,0.81962953,0.7411591,0.93017393,0.97086394,,,,,,
109,9.77532e-06,0.91444556,0.80474751,0.10969805,0.1598793,0.26056849,0.40340846,0.24932352,0.065806398,0.57529961,0.47457596,0.72083782,0.82880533,0.75075884,0.9397496,0.97318364,0.88993969,0.76342556,0.8566032,0.80799726,0.92704498,0.9792165
110,9.7708427e-06,0.99190697,0.86890807,0.12299889,0.15433034,0.30463203,0.46167128,0.26024993,0.062864857,0.62407486,0.52639259,0.66727868,0.79123289,0.70179989,0.92765438,0.97149069,,,,,,
111,9.7663223e-06,1.014587,0.89377145,0.12081553,0.14847332,0.28676453,0.45814984,0.25274094,0.060765182,0.64860512,0.54840546,0.65411486,0.78023036,0.68022221,0.93837025,0.97498232,,,,,,
112,9.761759e-06,0.92261817,0.81192752,0.11069064,0.1528952,0.26179544,0.41155676,0.24147828,0.065841362,0.58397326,0.48669456,0.70529712,0.81778099,0.73591291,0.93754348,0.97379932,,,,,,
113,9.7571528e-06,0.8835762,0.77864236,0.10493384,0.15146435,0.26426214,0.38287146,0.23706618,0.06425393,0.55884412,0.45813529,0.72466834,0.83189309,0.76192333,0.93390576,0.97178019,,,,,,
114,9.7525037e-06,0.90382902,0.79496819,0.10886084,0.15422376,0.27748547,0.39782096,0.23694222,0.069696549,0.5716529,0.47194845,0.70464821,0.81928075,0.74887284,0.91277387,0.9722944,,,,,,
115,9.7478118e-06,0.91822251,0.80856779,0.10965473,0.14872848,0.28914627,0.40162284,0.2431633,0.067417069,0.58110197,0.47885808,0.68105736,0.79505404,0.71694173,0.91767392,0.97125622,,,,,,
