# model=B23VideoMTWindowModel tfcu=videomt_window_final lora_rank=32 input_size= num_clips=1 num_frames=5
# loss=videomt_query_mask + 1*query_mask aux=
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=1 lr=0.0001 params_total=309258322 params_trainable=6104146
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_query_bce,train_loss_query_dice,train_loss_query_no_object,train_loss_query_weight_scale,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,train_videomt_enabled,train_videomt_final,val_loss,val_main_loss,val_aux_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_query_bce,val_loss_query_dice,val_loss_query_no_object,val_loss_query_weight_scale,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy,val_videomt_enabled,val_videomt_final
52,1.9216456e-05,0.35146289,0.35146289,,,,,,,,,,,,,,,,,,,,,0.35146289,,0.08264567,,0.17753623,0.096662256,0.049928464,0.23698762,0.007460923,1,,,0.74776301,0.84173709,0.82529217,0.86728629,0.97959833,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1.9198193e-05,0.33497107,0.33497107,,,,,,,,,,,,,,,,,,,,,0.33497107,,0.079105367,,0.16529946,0.097503464,0.049155355,0.2351536,0.0079676648,1,,,0.75765018,0.85573483,0.82880007,0.89154856,0.97973134,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,1.9179927e-05,0.35890626,0.35890626,,,,,,,,,,,,,,,,,,,,,0.35890626,,0.084886739,,0.18040015,0.1010369,0.052202138,0.24148653,0.0092183628,1,,,0.74116618,0.84084352,0.81444525,0.87643674,0.9784212,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,1.9161659e-05,0.3222169,0.3222169,,,,,,,,,,,,,,,,,,,,,0.3222169,,0.075023719,,0.16050174,0.091124396,0.045655551,0.226183,0.011672989,1,,,0.75947874,0.85680906,0.83026983,0.89016119,0.98094009,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1.914339e-05,0.35602899,0.35602899,,,,,,,,,,,,,,,,,,,,,0.35602899,,0.084123411,,0.18650435,0.091046728,0.051270583,0.21709333,0.0067942724,1,,,0.73854929,0.83306751,0.81068305,0.8640289,0.98014139,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,1.9125118e-05,0.3857667,0.3857667,,,,,,,,,,,,,,,,,,,,,0.3857667,,0.081198327,,0.20732259,0.090588473,0.049649207,0.25806949,0.0080148372,1,,,0.70811917,0.81213582,0.7902496,0.84341343,0.98035299,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,1.9106845e-05,0.37630912,0.37630912,,,,,,,,,,,,,,,,,,,,,0.37630912,,0.081039783,,0.20039582,0.08945103,0.049265921,0.25060377,0.0088010898,1,,,0.71681586,0.82110473,0.79543114,0.85905203,0.97958649,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,1.908857e-05,0.31158552,0.31158552,,,,,,,,,,,,,,,,,,,,,0.31158552,,0.076375668,,0.15268491,0.089855298,0.047690185,0.21127965,0.0068244011,1,,,0.77043866,0.8640436,0.84549391,0.88748538,0.98121795,1,1,0.64921582,0.64921582,,,,,,,,,,,,,,,,,,,,,0.64921582,,0.25072226,,0.25670167,0.14405012,0.13832586,0.30920769,0.0065862787,1,,,0.63862763,0.7609013,0.78166718,0.77578792,0.96860269,1,1
60,1.9070292e-05,0.37752972,0.37752972,,,,,,,,,,,,,,,,,,,,,0.37752972,,0.076671533,,0.20509077,0.083520974,0.047204115,0.25688894,0.0072689206,1,,,0.7135482,0.81546985,0.78797061,0.85464388,0.98126362,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,1.9052013e-05,0.33330346,0.33330346,,,,,,,,,,,,,,,,,,,,,0.33330346,,0.077534419,,0.17269211,0.090431658,0.04989693,0.21044302,0.0090671405,1,,,0.75467456,0.84497544,0.81504706,0.88453906,0.98003735,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,1.9033732e-05,0.37466837,0.37466837,,,,,,,,,,,,,,,,,,,,,0.37466837,,0.0802221,,0.19259387,0.0928321,0.046329673,0.27634504,0.0081677188,1,,,0.72590954,0.82835741,0.8088538,0.85343344,0.98080078,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,1.9015449e-05,0.35228062,0.35228062,,,,,,,,,,,,,,,,,,,,,0.35228062,,0.082644249,,0.17880026,0.096043624,0.052455286,0.23289663,0.0085671191,1,,,0.74214365,0.84194085,0.81895049,0.87150421,0.9788995,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1.8997164e-05,0.36057747,0.36057747,,,,,,,,,,,,,,,,,,,,,0.36057747,,0.078808312,,0.1916423,0.089092278,0.048861905,0.23515413,0.0093486963,1,,,0.7362029,0.83176183,0.80589111,0.86600239,0.98014726,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1.8978877e-05,0.36521933,0.36521933,,,,,,,,,,,,,,,,,,,,,0.36521933,,0.078660042,,0.19367658,0.090441985,0.046159417,0.24659311,0.010696857,1,,,0.73186741,0.82690348,0.80272231,0.85953459,0.9805178,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1.8960588e-05,0.36184881,0.36184881,,,,,,,,,,,,,,,,,,,,,0.36184881,,0.09879847,,0.16691817,0.09763622,0.063570619,0.23902426,0.0094377289,1,,,0.75120307,0.8530535,0.82579428,0.88844307,0.97521501,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,1.8942297e-05,0.34497731,0.34497731,,,,,,,,,,,,,,,,,,,,,0.34497731,,0.076953176,,0.18164369,0.091700257,0.048731538,0.222564,0.0081353183,1,,,0.74726583,0.83855398,0.81050653,0.87429431,0.98033724,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1.8924004e-05,0.37794939,0.37794939,,,,,,,,,,,,,,,,,,,,,0.37794939,,0.081956029,,0.20316315,0.091478347,0.04964227,0.24271776,0.010965568,1,,,0.71678245,0.81866971,0.79157818,0.85643779,0.97921154,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
