epoch,lr,train_loss,train_main_loss,train_aux_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_query_bce,train_loss_query_dice,train_loss_query_no_object,train_loss_query_weight_scale,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,train_videomt_enabled,train_videomt_final,val_loss,val_main_loss,val_aux_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_query_bce,val_loss_query_dice,val_loss_query_no_object,val_loss_query_weight_scale,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy,val_videomt_enabled,val_videomt_final
13,1.9927258e-05,0.5516371,0.5516371,,,,,,,,,,,,,,,,,,,,,0.5516371,,0.14245641,,0.24309405,0.22003628,0.11460056,0.36370314,0.23187407,1,,,0.66450982,0.78483596,0.76000597,0.8291891,0.96728217,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1.9909068e-05,0.57826681,0.57826681,,,,,,,,,,,,,,,,,,,,,0.57826681,,0.12984482,,0.27668688,0.20612112,0.10355731,0.40760152,0.1616279,1,,,0.6386983,0.75482316,0.72594894,0.80226944,0.96748187,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1.9890876e-05,0.52599711,0.52599711,,,,,,,,,,,,,,,,,,,,,0.52599711,,0.11984964,,0.2645427,0.18583137,0.0860791,0.34257022,0.07436785,1,,,0.6443383,0.76455315,0.73734933,0.80990382,0.9707141,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1.9872682e-05,0.51682436,0.51682436,,,,,,,,,,,,,,,,,,,,,0.51682436,,0.11051708,,0.26750505,0.17010652,0.075247084,0.35184215,0.043402583,1,,,0.6422322,0.75991361,0.73446253,0.80644346,0.97339559,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1.9854487e-05,0.48026738,0.48026738,,,,,,,,,,,,,,,,,,,,,0.48026738,,0.12004245,,0.22880446,0.17239905,0.081304321,0.32292754,0.03061887,1,,,0.68335845,0.79893929,0.77912672,0.83223813,0.97136546,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1.9836289e-05,0.47839976,0.47839976,,,,,,,,,,,,,,,,,,,,,0.47839976,,0.10874768,,0.23783544,0.15812431,0.070564523,0.33823308,0.025422902,1,,,0.67138588,0.7893015,0.76760509,0.8300776,0.97354477,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1.981809e-05,0.49580496,0.49580496,,,,,,,,,,,,,,,,,,,,,0.49580496,,0.10459309,,0.26015422,0.15066751,0.066076986,0.34189162,0.022673833,1,,,0.65096036,0.76681475,0.74411639,0.80410774,0.97503814,1,1,0.63144169,0.63144169,,,,,,,,,,,,,,,,,,,,,0.63144169,,0.20299042,,0.2833293,0.17422151,0.12729613,0.318426,0.053885191,1,,,0.61145565,0.73791656,0.69603497,0.83984896,0.96205106,1,1
20,1.9799888e-05,0.47224189,0.47224189,,,,,,,,,,,,,,,,,,,,,0.47224189,,0.1102013,,0.23277347,0.15145662,0.064853803,0.33820876,0.01551011,1,,,0.68624939,0.79175931,0.76946627,0.82815687,0.97385408,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.9781685e-05,0.41793821,0.41793821,,,,,,,,,,,,,,,,,,,,,0.41793821,,0.098032841,,0.20574063,0.13981222,0.062053359,0.2932183,0.011852456,1,,,0.70938814,0.81817146,0.80194807,0.84595179,0.97627865,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.976348e-05,0.49433524,0.49433524,,,,,,,,,,,,,,,,,,,,,0.49433524,,0.10978119,,0.25621887,0.13849824,0.067309834,0.33498814,0.014417408,1,,,0.65745447,0.77096948,0.74486303,0.81644137,0.97351423,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.9745274e-05,0.43482801,0.43482801,,,,,,,,,,,,,,,,,,,,,0.43482801,,0.10233344,,0.21766187,0.13759385,0.063346741,0.29462533,0.011227515,1,,,0.69971841,0.80695586,0.78556357,0.84159589,0.97506641,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.9727065e-05,0.52018338,0.52018338,,,,,,,,,,,,,,,,,,,,,0.52018338,,0.11230898,,0.26924973,0.1330332,0.064685826,0.37252909,0.016170583,1,,,0.64250396,0.75668827,0.73004734,0.7994494,0.97335841,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.9708854e-05,0.47703223,0.47703223,,,,,,,,,,,,,,,,,,,,,0.47703223,,0.11313186,,0.24148211,0.13544726,0.069800581,0.31408271,0.0096181991,1,,,0.67839067,0.78422348,0.75567142,0.83030695,0.97228647,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.9690642e-05,0.44919922,0.44919922,,,,,,,,,,,,,,,,,,,,,0.44919922,,0.10194537,,0.22345921,0.13276984,0.063917151,0.32358566,0.018106047,1,,,0.69162661,0.80082062,0.77874761,0.83267717,0.97509744,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.9672428e-05,0.4650187,0.4650187,,,,,,,,,,,,,,,,,,,,,0.4650187,,0.10235066,,0.23503333,0.13090617,0.058624227,0.3434065,0.0096034651,1,,,0.68169891,0.79142146,0.76723083,0.83296578,0.97466403,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.9654212e-05,0.38288565,0.38288565,,,,,,,,,,,,,,,,,,,,,0.38288565,,0.09707304,,0.1862318,0.12492073,0.059734285,0.24993424,0.0086843815,1,,,0.73005254,0.83489308,0.80869065,0.87121508,0.97582225,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
