# model=B31DINOv3IMLNoGateStABRMRVideoModel tfcu= lora_rank=32 input_size=512 num_clips=4 num_frames=4
# loss= aux=
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=1 lr=0.0003 params_total=312610691 params_trainable=9456515
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_edge_loss,train_predict_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_query_bce,train_loss_query_dice,train_loss_query_no_object,train_loss_query_weight_scale,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_main_loss,val_aux_loss,val_edge_loss,val_predict_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_query_bce,val_loss_query_dice,val_loss_query_no_object,val_loss_query_weight_scale,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy
15,9.987942e-05,0.71095076,0.71095076,,0.58579589,0.12515488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31264595,0.4140811,0.77403334,0.41969456,0.94494913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,9.9856511e-05,0.7219085,0.7219085,,0.59379686,0.12811164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49849146,0.63134503,0.71014368,0.71486516,0.94554935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,9.9831614e-05,0.77939539,0.77939539,,0.66183343,0.11756195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20682344,0.27149815,0.75123314,0.21496205,0.93885064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,9.980473e-05,0.7287931,0.7287931,,0.58410456,0.14468854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49290008,0.64042028,0.63853639,0.80573163,0.94052912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,9.977586e-05,0.72464371,0.72464371,,0.60529226,0.11935145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53022492,0.66239959,0.72432233,0.73558353,0.9508537,0.90416931,0.90416931,,0.78382383,0.12034548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26965073,0.37419452,0.89432571,0.27852162,0.93907352
20,9.9745005e-05,0.69311924,0.69311924,,0.59392923,0.099190008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.489129,0.61746664,0.82024385,0.57765497,0.95975775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,9.9712167e-05,0.54220025,0.54220025,,0.45504802,0.087152236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5964824,0.72744762,0.78717747,0.71073686,0.97206128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,9.9677346e-05,0.62591416,0.62591416,,0.51542094,0.11049322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65009614,0.78169486,0.79908914,0.79750852,0.96169468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,9.9640544e-05,0.56967519,0.56967519,,0.48468804,0.084987155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.62685505,0.75400445,0.82962624,0.72692216,0.97309097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,9.9601763e-05,0.56141417,0.56141417,,0.47458792,0.08682625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66738177,0.79116695,0.81164545,0.79812556,0.97109342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,9.9561004e-05,0.56462177,0.56462177,,0.49104134,0.073580438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59850147,0.73069438,0.86691695,0.69134419,0.9706133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
