# model=B23TFCUCCMFGMLiteModel tfcu=ccm_fgm_forensic_gated_lite lora_rank=32 input_size=512 num_clips=2 num_frames=4
# loss=1*dice + 0.5*bce + 0.2*tversky + 0.15*boundary aux=0.05*ccm_mask32 + 0.03*fgm_mask32 + 0.2*mask128 + 0.1*boundary128
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=1 lr=0.0001 params_total=318326648 params_trainable=15021176
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_aux_boundary128_loss,train_aux_ccm_mask32_loss,train_aux_fgm_mask32_loss,train_aux_mask128_loss,train_bce_loss,train_boundary_loss,train_dice_loss,train_tversky_loss,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_iou,val_f1,val_precision,val_recall,val_accuracy
24,9.994903e-06,0.64490881,0.54995316,0.094955657,0.098818584,0.27955365,0.36109096,0.30131693,0.12363539,0.062000351,0.4121163,0.33359554,0.7044123,0.81207193,0.75459144,0.89894285,0.97828006,,,,,,
25,9.9942009e-06,0.58309729,0.49117511,0.091922185,0.099072023,0.27591811,0.35751457,0.2874682,0.12016457,0.061775185,0.36298849,0.29419026,0.72289862,0.82213474,0.77522913,0.89567442,0.978051,,,,,,
26,9.9934536e-06,0.52862329,0.44593996,0.08268333,0.098109392,0.24399975,0.32642219,0.25439868,0.10443673,0.063877345,0.33128256,0.26428719,0.74722965,0.84555076,0.80073433,0.90708536,0.9797681,,,,,,
27,9.992661e-06,0.53912282,0.45168799,0.087434829,0.097407849,0.26245973,0.33411416,0.27273816,0.10600441,0.06407846,0.33471828,0.27177867,0.73063567,0.82971707,0.78477983,0.89641964,0.97889355,,,,,,
28,9.9918231e-06,0.44061584,0.36831865,0.072297186,0.090131939,0.21724897,0.28812926,0.21888833,0.089612328,0.057319833,0.27199211,0.21461201,0.78337892,0.87236958,0.83693428,0.91851244,0.98102293,,,,,,
29,9.99094e-06,0.49378042,0.41629121,0.077489215,0.081424711,0.23279352,0.31093099,0.24189569,0.085603199,0.052388135,0.31510729,0.25262048,0.75190944,0.84785898,0.80835028,0.90190023,0.98311023,0.45578173,0.74623815,0.83784477,0.80493302,0.90668566,0.97912332
30,9.9900117e-06,0.39184871,0.32544798,0.066400726,0.085117819,0.19869209,0.26489297,0.20003775,0.078463904,0.057538768,0.23948099,0.19052109,0.798829,0.88316986,0.85496848,0.91762084,0.98297499,,,,,,
31,9.9890382e-06,0.44978535,0.37179964,0.077985705,0.083103472,0.24580147,0.30799705,0.24072686,0.086720751,0.055952442,0.27530568,0.22370358,0.75154414,0.84858151,0.81333756,0.8956843,0.98127028,,,,,,
32,9.9880195e-06,0.44867617,0.37067316,0.078003011,0.080702579,0.24545538,0.30023294,0.24326497,0.086100035,0.055162276,0.2743908,0.22479001,0.74883621,0.84439056,0.81020347,0.89127649,0.9815832,,,,,,
33,9.9869556e-06,0.44964556,0.36987938,0.079766183,0.076412886,0.25568292,0.30755213,0.25057092,0.083627358,0.054567238,0.27458846,0.22646079,0.73419788,0.83558067,0.79808055,0.88860635,0.98250035,,,,,,
34,9.9858465e-06,0.40946513,0.3333656,0.076099523,0.080335695,0.24317814,0.29538035,0.23522817,0.082210179,0.056978579,0.24333629,0.20188721,0.75343226,0.84778115,0.81700484,0.88890735,0.98178699,,,,,,
35,9.9846922e-06,0.3833908,0.3121683,0.071222496,0.078049077,0.22716873,0.27443256,0.21913087,0.073551683,0.057511264,0.2287326,0.19016584,0.76940978,0.86014786,0.832538,0.89748679,0.98342183,,,,,,
36,9.9834928e-06,0.37248824,0.30273941,0.069748835,0.072181899,0.22359746,0.2708076,0.21613272,0.07176775,0.051639412,0.2223467,0.18381459,0.77005529,0.86280825,0.83322235,0.90079099,0.98376642,,,,,,
37,9.9822482e-06,0.39469493,0.31673724,0.077957689,0.079280839,0.25297136,0.29051006,0.24332867,0.080602534,0.059031494,0.22843136,0.19574944,0.74856633,0.84457056,0.81587044,0.88547706,0.98132946,,,,,,
38,9.9809585e-06,0.35181886,0.28165692,0.070161933,0.077408657,0.22487153,0.2688425,0.21556108,0.07244519,0.057035448,0.20253224,0.17173385,0.77465553,0.86377699,0.83654609,0.89983983,0.98233979,,,,,,
39,9.9796237e-06,0.35650181,0.28391384,0.072587963,0.078766322,0.23356653,0.27652746,0.2236859,0.078573612,0.059229801,0.20137363,0.17184467,0.76742036,0.85900639,0.8319026,0.89569046,0.98147468,0.40767677,0.7313673,0.81980727,0.79227966,0.90912429,0.96682996
40,9.9782437e-06,0.35928325,0.28669517,0.072588081,0.072747038,0.24177057,0.27748029,0.2245022,0.072041744,0.05554771,0.20689306,0.1772454,0.75992441,0.85297188,0.82397979,0.89243704,0.98241173,,,,,,
41,9.9768187e-06,0.34695469,0.27870357,0.068251123,0.066194614,0.22329261,0.26228755,0.21299202,0.065577572,0.051332218,0.20371509,0.17249929,0.76702241,0.85931548,0.83073437,0.8961779,0.98451159,,,,,,
