epoch,train_loss
0,1.8182005450751881
1,1.6404132051107168
2,1.6095812472251363
3,1.5678656697853066
4,1.556917377205482
5,1.453041066129907
6,1.375394355969609
7,1.3588134529025149
8,1.3187050063227148
9,1.2286768225134697,1.1422574871321343,0.6765792513799175,0.7919881774063131,0.7086414254289725,0.9346067096191873,0.9699946344338336
10,1.1880862485273498
11,1.1450186416787922
12,1.1041782180563078
13,1.0054644027813135
14,0.975871141440711
15,0.973428059236029
16,0.9390472422352586
17,0.8268065090741784
18,0.8242738943842439
19,0.8330613065875515,0.7675312358479408,0.7321731044655353,0.8341639029812672,0.771053961365536,0.9288675893856361,0.978333894701834
20,0.6909261909267133
21,0.663544340278553
22,0.6880667500158276
23,0.6009216235120275
24,0.6449088126668479
25,0.5830972931110392
26,0.5286232911091943
27,0.5391228245651619
28,0.44061584024203604
29,0.4937804245943255,0.4557817292050802,0.7462381533619049,0.8378447747314046,0.804933019663732,0.9066856550080235,0.9791233239799826
30,0.39184870650038195
31,0.44978534571183293
32,0.448676173804
33,0.4496455640405431
34,0.40946512579156324
35,0.3833907993816739
36,0.37248824453387813
37,0.39469493023068436
38,0.3518188562419527
39,0.3565018076695139,0.40767677004413355,0.7313673010749803,0.8198072694373869,0.7922796642512171,0.9091242892903916,0.9668299595119327
40,0.35928324735263695
41,0.34695469121751354
42,0.31302680288693485
43,0.3281165512970516
44,0.27704495004768637
45,0.2708467779567412
46,0.30335121507874746
47,0.3177829730455006
48,0.2916770696857022
49,0.2412565807574587,0.3580179118872744,0.7379560238547118,0.821760418195728,0.7951014188879271,0.9128471392160145,0.9632434635739059
50,0.2913475954646598
51,0.2660246713483233
52,0.26547943493793974
53,0.2640837149503407
54,0.2816139893557356
55,0.25000684986579313
56,0.2688126402031648
57,0.2977109393945202
58,0.2929396622195847
59,0.22650889301610783,0.3853447008410958,0.7225970000160479,0.8064056728859391,0.8009078002158432,0.8900313177489425,0.9501608150371056
60,0.29371245406625035
61,0.2486573529296305
62,0.2869685585933049
63,0.25378590670586537
64,0.27941978988622945
65,0.2853293502468522
66,0.2493085652138675
67,0.2632001201638918
68,0.28678754511847737
69,0.21466067098252783,0.31601101883129384,0.7708483467037874,0.8533013864120903,0.8480341498105399,0.8952793141711602,0.9795936361438757
70,0.23600068247047984
71,0.22190917647657676
72,0.26490419031447404
73,0.24666562874432477
74,0.22760262907612147
75,0.28585750014232764
76,0.26799883722438983
77,0.24871945592935557
78,0.22780401162072994
79,0.23970214042795096,0.4077453486247752,0.7305201935969228,0.8086890752556402,0.7815175011155132,0.9241319035776069,0.9389103414122686
80,0.2477518908843
81,0.245927556058417
82,0.22796362870603912
83,0.2913154542700736
84,0.2394347967830855
85,0.2583307150454331
86,0.22053698082172007
87,0.2323287959352991
88,0.20112100147759687
89,0.23056631815086634,0.4723114767372828,0.7245487234222766,0.8032068942665263,0.7809775013004081,0.9178687963953412,0.9280129231974087
90,0.18743413473701193
91,0.24764974690277206
92,0.23152659546787868
93,0.21720182322538817
94,0.22284769138731025
95,0.2329339841879476
96,0.22753567586255352
97,0.24388083234935815
98,0.23933655656626063
99,0.22812344078475513,0.3425641243639993,0.742453363985043,0.822486201383635,0.8046087675060318,0.9106288436459581,0.957293390810138
100,0.2522849814329219
101,0.24803607678647954
102,0.2259926432036724
103,0.1983195079285183
104,0.22968080134175659
105,0.20129584844165302
106,0.2364689787421879
107,0.2102100410996828
108,0.24726324911588057
109,0.21975851772534216,0.4100978582339213,0.7325551763924174,0.8104546323781257,0.7818412182462514,0.925413735496611,0.9421724578843708
110,0.20386797717257168
111,0.23005210083647398
112,0.23414324146540436
113,0.21500045590075556
114,0.24242992007358413
115,0.2462437308183406
116,0.2087923480874871
117,0.2367480487561385
118,0.22892309195939606
119,0.2501095397450167,0.3330061493227176,0.7383755682734086,0.8198323444762764,0.8122127032715135,0.8967027518579566,0.9582446283691048
120,0.2430139852247189
121,0.23023820887132768
122,0.22282261679555523
123,0.22829194997635488
124,0.24521723810381346
125,0.18996529636596401
126,0.19580024111050146
127,0.2338127824193478
128,0.226566735451111
129,0.22824239722992246,0.2842993226484739,0.7718848566851609,0.8520615774379895,0.8202423258714795,0.9281932670282403,0.9780764558454179
130,0.24330745487460345
131,0.22828016794414074
132,0.19275309237546545
133,0.22995351938986594
134,0.23344974264263932
135,0.21239232169375694
136,0.22220356667111085
137,0.1932728815540837
138,0.1958550456425418
139,0.1953878017823518,0.45571822185992406,0.7304299631318116,0.8069038386497878,0.7775100840854522,0.9295131730734423,0.9319998506995077
140,0.22572399988533273
141,0.1995167887491158
142,0.22834273561675658
143,0.2253176389965904
144,0.19920290584436892
145,0.21712877901669303
146,0.2518479502414362
147,0.21114505439571768
148,0.20716811089289985
149,0.22447711654813587,0.33346948310578994,0.7471921682676471,0.8278549977284265,0.8185783170471325,0.8994789741010265,0.963506838850743
150,0.18894759001203112
151,0.20213516730338377
152,0.23483179071895796
153,0.23718415567695209
154,0.21092762722172137
155,0.20917990722449423
156,0.2085382088124467
157,0.2108991157420012
158,0.22305509125003106
159,0.2264204665982752,0.3705151737186849,0.7392649179802532,0.8169318113618895,0.7983367818415956,0.9120797831180525,0.9506447482469511
160,0.2148723246633078
