# model=B24DINOv3IMLCCMVideoModel tfcu=ccm_predecoder lora_rank=32 input_size=512 num_clips=4 num_frames=4
# loss= aux=
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=1 lr=0.0003 params_total=313582978 params_trainable=9046529
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_edge_loss,train_predict_loss,train_adapter_mask32_loss,train_adapter_boundary32_loss,train_tcu_momentary_loss,train_tcu_gradual_loss,train_tcu_cumulative_loss,train_sumi_sufficiency_loss,train_sumi_ib_kl,train_sumi_source_adv_loss,train_background_suppression_loss,train_sumi_loss,train_adapter_alpha,train_adapter_gate_mean,train_tcu_alpha,train_tcu_gate_momentary_mean,train_tcu_gate_gradual_mean,train_tcu_gate_cumulative_mean,train_tcu_quality_mean,train_ttf_alpha,train_ttf_residual_energy,train_loss_total,train_loss_seg,train_loss_bce,train_loss_focal_bce,train_loss_dice,train_loss_edge,train_loss_query_bce,train_loss_query_dice,train_loss_query_no_object,train_loss_query_weight_scale,train_loss_tda,train_tda_weight,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_main_loss,val_aux_loss,val_edge_loss,val_predict_loss,val_adapter_mask32_loss,val_adapter_boundary32_loss,val_tcu_momentary_loss,val_tcu_gradual_loss,val_tcu_cumulative_loss,val_sumi_sufficiency_loss,val_sumi_ib_kl,val_sumi_source_adv_loss,val_background_suppression_loss,val_sumi_loss,val_adapter_alpha,val_adapter_gate_mean,val_tcu_alpha,val_tcu_gate_momentary_mean,val_tcu_gate_gradual_mean,val_tcu_gate_cumulative_mean,val_tcu_quality_mean,val_ttf_alpha,val_ttf_residual_energy,val_loss_total,val_loss_seg,val_loss_bce,val_loss_focal_bce,val_loss_dice,val_loss_edge,val_loss_query_bce,val_loss_query_dice,val_loss_query_no_object,val_loss_query_weight_scale,val_loss_tda,val_tda_weight,val_iou,val_f1,val_precision,val_recall,val_accuracy
15,0.00029963583,0.60929737,0.60929737,,0.49315736,0.11614001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35422537,0.48977664,0.60808938,0.54577134,0.9456516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.00029956664,0.68467508,0.68467508,,0.56284651,0.12182857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56770464,0.71284805,0.7312834,0.72772379,0.9544426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.00029949144,0.61165652,0.61165652,,0.5062747,0.10538182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58146533,0.71768304,0.72945894,0.74402095,0.9624882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.00029941025,0.57441709,0.57441709,,0.48003317,0.09438392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5548351,0.69509437,0.71558356,0.75755326,0.96100438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00029932305,0.67942983,0.67942983,,0.5681658,0.11126403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43348846,0.56780301,0.79858035,0.55381864,0.94585172,0.79785217,0.79785217,,0.70119656,0.096655611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.61704803,0.73733186,0.63195911,0.962233,0.95641518
20,0.00029922986,0.66843965,0.66843965,,0.54127567,0.12716398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47231922,0.61570627,0.55853183,0.80455147,0.94298345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.00029913069,0.6088327,0.6088327,,0.50962471,0.099207988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37249096,0.50741531,0.75530878,0.44653518,0.94970427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00029902552,0.60219278,0.60219278,,0.50674595,0.095446826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66470688,0.78883079,0.7447981,0.85378087,0.96762562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00029891437,0.60796916,0.60796916,,0.5099241,0.098045059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59370658,0.72248878,0.74360338,0.72436046,0.96728171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.00029879724,0.61823069,0.61823069,,0.51225941,0.10597129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66998846,0.79327316,0.8036124,0.80179046,0.96478058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
