# model=B23TFCUCCMFGMLiteModel tfcu=ccm_fgm_lite lora_rank=32 input_size=512 num_clips=2 num_frames=4
# loss=1*dice + 0.5*bce + 0.2*tversky + 0.15*boundary aux=0.05*ccm_mask32 + 0.1*fgm_mask32 + 0.2*mask128 + 0.1*boundary128
# train_samples=DAVIS-VI_tra_DVI_30.npy;DAVIS-VI_tra_CPNET_30.npy val_samples=DAVIS-VI_val_DVI_20.npy;DAVIS-VI_val_CPNET_20.npy
# batch_size=1 lr=0.0001 params_total=318244502 params_trainable=14939030
epoch,lr,train_loss,train_main_loss,train_aux_loss,train_aux_boundary128_loss,train_aux_ccm_mask32_loss,train_aux_fgm_mask32_loss,train_aux_mask128_loss,train_bce_loss,train_boundary_loss,train_dice_loss,train_tversky_loss,train_iou,train_f1,train_precision,train_recall,train_accuracy,val_loss,val_iou,val_f1,val_precision,val_recall,val_accuracy
24,9.994903e-06,1.421162,1.0900099,0.33115208,0.4795136,0.43236206,0.53312673,1.0413497,0.46670627,0.07328285,0.7196488,0.63007784,0.53498026,0.68428869,0.57755051,0.90643146,0.93939835,,,,,,
25,9.9942009e-06,1.4469285,1.1128519,0.33407658,0.47132883,0.4621011,0.52823649,1.055075,0.46849609,0.069644396,0.73855469,0.64801269,0.52432925,0.67143291,0.54858871,0.9187328,0.94290662,,,,,,
26,9.9934536e-06,1.4717813,1.1283938,0.34338751,0.46622507,0.50780281,0.57652122,1.0686137,0.4744974,0.072314062,0.74786708,0.66215454,0.48830204,0.63468808,0.51326178,0.89996203,0.9372069,,,,,,
27,9.992661e-06,1.4103398,1.089109,0.32123079,0.45925615,0.43031075,0.512967,1.0124646,0.45403309,0.068593078,0.72433259,0.63735444,0.53384982,0.67727503,0.56597126,0.92197778,0.94569306,,,,,,
28,9.9918231e-06,1.4216709,1.0979165,0.32375444,0.45159929,0.43966709,0.5372857,1.0144129,0.45584421,0.07420231,0.73105169,0.63906165,0.52834021,0.67285908,0.55359385,0.91118994,0.94237738,,,,,,
29,9.99094e-06,1.3665438,1.0598669,0.30667689,0.44683919,0.40443831,0.4847574,0.96647654,0.44495311,0.070587007,0.70441126,0.61195536,0.58038263,0.71706211,0.60204722,0.92644974,0.94575521,1.4220333,0.51557072,0.662404,0.52673336,0.9559966,0.93956628
30,9.9900117e-06,1.4220826,1.1031994,0.3188832,0.44015042,0.42763091,0.53227722,1.0012945,0.44977314,0.072266256,0.73754744,0.64962737,0.53300271,0.67087448,0.55795424,0.9147606,0.94765053,,,,,,
31,9.9890382e-06,1.4001503,1.0865329,0.31361738,0.43334633,0.43659336,0.51490466,0.98481304,0.44785946,0.06322547,0.72526798,0.63925701,0.53608124,0.67539206,0.56741223,0.89739768,0.94517174,,,,,,
32,9.9880195e-06,1.3409942,1.0463323,0.29466182,0.4272509,0.38137494,0.46602037,0.9313297,0.43143778,0.071415047,0.69874534,0.60577937,0.57350706,0.71417781,0.59607167,0.9441355,0.94845765,,,,,,
33,9.9869556e-06,1.4438167,1.123151,0.32066568,0.4225754,0.44960633,0.53842524,1.0104265,0.4523804,0.0709872,0.75281994,0.66746385,0.50065519,0.64801783,0.5327954,0.9100403,0.9439868,,,,,,
